parameter,value,raw_value,unit,raw_unit,source,status,conversion_factor,bounds
燃料电池活化面积,0.0025,25,m^2,cm^2,参数清单!C2,given,0.0001,fixed/not fitted
端板厚度,0.01,0.01,m,m,参数清单!C3,given,1.0,fixed/not fitted
阳极双极板厚度,0.002,0.002,m,m,参数清单!C4,given,1.0,fixed/not fitted
阴极双极板厚度,0.002,0.002,m,m,参数清单!C5,given,1.0,fixed/not fitted
阳极 GDL 厚度,0.00015,0.00015,m,m,参数清单!C6,given,1.0,fixed/not fitted
阴极 GDL 厚度,0.00015,0.00015,m,m,参数清单!C7,given,1.0,fixed/not fitted
阳极 CL 厚度,3.4e-06,3.4e-06,m,m,参数清单!C8,given,1.0,fixed/not fitted
阴极 CL 厚度,1.13e-05,1.13e-05,m,m,参数清单!C9,given,1.0,fixed/not fitted
质子交换膜厚度,1.2e-05,1.2e-05,m,m,参数清单!C10,given,1.0,fixed/not fitted
阳极 GDL 孔隙率,0.8,0.8,-,-,参数清单!C11,given,1.0,fixed/not fitted
阴极 GDL 孔隙率,0.8,0.8,-,-,参数清单!C12,given,1.0,fixed/not fitted
阳极 CL 孔隙率,0.3916,0.3916,-,-,参数清单!C13,given,1.0,fixed/not fitted
阴极 CL 孔隙率,0.4207,0.4207,-,-,参数清单!C14,given,1.0,fixed/not fitted
GDL 接触角,110.0,110,deg,deg,参数清单!C15,given,1.0,fixed/not fitted
CL 接触角,100.0,100,deg,deg,参数清单!C16,given,1.0,fixed/not fitted
GDL 液态水渗透率常数,6.2e-12,6.2e-12,m^2,m^2,参数清单!C17,given,1.0,fixed/not fitted
CL 液态水渗透率常数,6.2e-13,6.2e-13,m^2,m^2,参数清单!C18,given,1.0,fixed/not fitted
有效导热系数,由孔隙率、相含量和材料导热系数计算,由孔隙率、相含量和材料导热系数计算,W/(m·K),W/(m·K),参数清单!C19,given,1.0,fixed/not fitted
初始开路电压,0.95,0.95,V,V,参数清单!C20,given,1.0,fixed/not fitted
电化学参考温度,298.15,298.15,K,K,参数清单!C21,given,1.0,fixed/not fitted
阴极冰覆盖活性面积指数,3.5,3.5,-,-,参数清单!C22,given,1.0,fixed/not fitted
首尾电池浓差极化系数,10.0,10,-,-,参数清单!C23,given,1.0,fixed/not fitted
