source_workbook,source_sheet,source_row,t,I,V,T,j,j_A,I_B
附件2.xlsx,-25℃,3,0.0,2.0,0.799,-24.995416484688832,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,4,0.2,2.1,0.799,-24.995416484688832,0.006930693069306931,0.084,0.17326732673267328
附件2.xlsx,-25℃,5,0.4,2.0,0.799,-24.993965296107348,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,6,0.6,2.0,0.799,-24.992561301065223,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,7,0.8,2.1,0.799,-24.991122981626773,0.006930693069306931,0.084,0.17326732673267328
附件2.xlsx,-25℃,8,1.0,2.0,0.8,-24.989688730460614,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,9,1.2,2.0,0.799,-24.98829688239823,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,10,1.4,2.1,0.8,-24.986870532738067,0.006930693069306931,0.084,0.17326732673267328
附件2.xlsx,-25℃,11,1.6,1.8,0.8,-24.985524800530953,0.005940594059405941,0.07200000000000001,0.1485148514851485
附件2.xlsx,-25℃,12,1.8,2.2,0.8,-24.984144535809946,0.007260726072607262,0.08800000000000001,0.18151815181518155
附件2.xlsx,-25℃,13,2.0,2.0,0.8,-24.982691313305594,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,14,2.2,2.1,0.8,-24.98128060254649,0.006930693069306931,0.084,0.17326732673267328
附件2.xlsx,-25℃,15,2.4,2.0,0.8,-24.97987381754257,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,16,2.6,2.0,0.8,-24.97850927496316,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,17,2.8,2.0,0.8,-24.977148517484267,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,18,3.0,2.2,0.8,-24.97571482158716,0.007260726072607262,0.08800000000000001,0.18151815181518155
附件2.xlsx,-25℃,19,3.2,2.1,0.8,-24.974246642735693,0.006930693069306931,0.084,0.17326732673267328
附件2.xlsx,-25℃,20,3.4,2.0,0.8,-24.972859460034414,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,21,3.6,2.1,0.8,-24.97147613020391,0.006930693069306931,0.084,0.17326732673267328
附件2.xlsx,-25℃,22,3.8,2.1,0.8,-24.970058275261835,0.006930693069306931,0.084,0.17326732673267328
附件2.xlsx,-25℃,23,4.0,2.0,0.8,-24.968682752618605,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,24,4.2,1.9,0.8,-24.96738747680149,0.006270627062706271,0.076,0.15676567656765678
附件2.xlsx,-25℃,25,4.4,2.0,0.8,-24.966095779823718,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,26,4.6,2.0,0.801,-24.964769517915357,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,27,4.8,2.0,0.8,-24.96344694944014,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,28,5.0,2.0,0.8,-24.962128058921877,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,29,5.2,2.2,0.801,-24.960736299164267,0.007260726072607262,0.08800000000000001,0.18151815181518155
附件2.xlsx,-25℃,30,5.4,2.0,0.801,-24.95934843859746,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,31,5.6,1.9,0.801,-24.958079068740886,0.006270627062706271,0.076,0.15676567656765678
附件2.xlsx,-25℃,32,5.8,2.0,0.801,-24.95681320218958,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,33,6.0,2.0,0.802,-24.955512751340308,0.006600660066006601,0.08,0.16501650165016502
附件2.xlsx,-25℃,34,6.2,2.2,0.797,-24.95413946251921,0.007260726072607262,0.08800000000000001,0.18151815181518155
附件2.xlsx,-25℃,35,6.4,3.7,0.765,-24.952105480816925,0.012211221122112212,0.14800000000000002,0.3052805280528053
附件2.xlsx,-25℃,36,6.6,5.3,0.739,-24.948805143686343,0.01749174917491749,0.212,0.43729372937293726
