source_workbook,source_cell,category,name,raw_value,unit,note
附件1.xlsx,参数清单!C2,几何参数,燃料电池活化面积,25,cm^2,用于电流/电流密度换算和电池面积设定
附件1.xlsx,参数清单!C3,几何参数,端板厚度,0.01,m,电堆两端的端板厚度
附件1.xlsx,参数清单!C4,几何参数,阳极双极板厚度,0.002,m,阳极侧 BP 厚度
附件1.xlsx,参数清单!C5,几何参数,阴极双极板厚度,0.002,m,阴极侧 BP 厚度
附件1.xlsx,参数清单!C6,几何参数,阳极 GDL 厚度,0.00015,m,阳极气体扩散层厚度
附件1.xlsx,参数清单!C7,几何参数,阴极 GDL 厚度,0.00015,m,阴极气体扩散层厚度
附件1.xlsx,参数清单!C8,几何参数,阳极 CL 厚度,3.4e-06,m,阳极催化层厚度
附件1.xlsx,参数清单!C9,几何参数,阴极 CL 厚度,1.13e-05,m,阴极催化层厚度
附件1.xlsx,参数清单!C10,几何参数,质子交换膜厚度,1.2e-05,m,膜厚度
附件1.xlsx,参数清单!C11,多孔介质,阳极 GDL 孔隙率,0.8,-,阳极 GDL 多孔介质孔隙率
附件1.xlsx,参数清单!C12,多孔介质,阴极 GDL 孔隙率,0.8,-,阴极 GDL 多孔介质孔隙率
附件1.xlsx,参数清单!C13,多孔介质,阳极 CL 孔隙率,0.3916,-,阳极催化层孔隙率
附件1.xlsx,参数清单!C14,多孔介质,阴极 CL 孔隙率,0.4207,-,阴极催化层孔隙率
附件1.xlsx,参数清单!C15,多孔介质,GDL 接触角,110,deg,用于毛细压和液态水迁移计算
附件1.xlsx,参数清单!C16,多孔介质,CL 接触角,100,deg,用于催化层毛细压和液态水迁移计算
附件1.xlsx,参数清单!C17,多孔介质,GDL 液态水渗透率常数,6.2e-12,m^2,GDL 区域液态水迁移相关常数
附件1.xlsx,参数清单!C18,多孔介质,CL 液态水渗透率常数,6.2e-13,m^2,CL 区域液态水迁移相关常数
附件1.xlsx,参数清单!C19,多孔介质,有效导热系数,由孔隙率、相含量和材料导热系数计算,W/(m·K),不同区域按固体、气体、液态水、冰等体积分数加权计算
附件1.xlsx,参数清单!C20,电化学参数,初始开路电压,0.95,V,用于零时刻电压曲线起点
附件1.xlsx,参数清单!C21,电化学参数,电化学参考温度,298.15,K,用于 Nernst 电压和交换电流密度温度修正
附件1.xlsx,参数清单!C22,电化学参数,阴极冰覆盖活性面积指数,3.5,-,控制 CCL 冰覆盖对有效反应面积的影响强度
附件1.xlsx,参数清单!C23,电化学参数,首尾电池浓差极化系数,10,-,用于首尾电池浓差极化修正
附件1.xlsx,参数清单!C24,电化学参数,中间电池浓差极化系数,1,-,用于中间电池浓差极化修正
附件1.xlsx,参数清单!C25,膜参数,质子交换膜厚度,1.2e-05,m,膜区域厚度
附件1.xlsx,参数清单!C26,膜参数,膜密度,2150,kg/m^3,膜/离聚物含水量计算使用
附件1.xlsx,参数清单!C27,膜参数,膜当量质量,1000,g/mol,用于膜水含量和质量换算
附件1.xlsx,参数清单!C28,膜参数,初始膜含水量,3,lambda,初始膜内水含量
附件1.xlsx,参数清单!C29,膜参数,CL 离聚物体积分数,0.3,-,阳极/阴极 CL 中离聚物体积分数
附件1.xlsx,参数清单!C30,热物性参数,水蒸气物性,4.8e-3; 2000; 0.1,kg/m^3; J/(kg·K); W/(m·K),水蒸气密度、比热容、导热系数
附件1.xlsx,参数清单!C31,热物性参数,冰物性,920; 2050; 2.3,kg/m^3; J/(kg·K); W/(m·K),冰密度、比热容、导热系数
附件1.xlsx,参数清单!C32,热物性参数,液态水物性,990; 4182; 0.6,kg/m^3; J/(kg·K); W/(m·K),液态水密度、比热容、导热系数
附件1.xlsx,参数清单!C33,热物性参数,氢气物性,0.089; 14283; 0.1672,kg/m^3; J/(kg·K); W/(m·K),氢气密度、比热容、导热系数
附件1.xlsx,参数清单!C34,热物性参数,氧气物性,1.43; 919.31; 0.0246,kg/m^3; J/(kg·K); W/(m·K),氧气密度、比热容、导热系数
附件1.xlsx,参数清单!C35,热物性参数,氮气物性,1.35; 1041.5; 0.0235,kg/m^3; J/(kg·K); W/(m·K),氮气密度、比热容、导热系数
