temp,j0,tau_b,tau_f,complete,run,wall_s
-20,0.3,1.0,1.0,False,fit_b26a39d369ccf7b05bc5,4.90117960004136
-25,0.3,1.0,1.0,False,fit_259e42491a2bc0422a44,3.9332381999702193
-20,0.3,1.0,1.0,False,fit_b26a39d369ccf7b05bc5,4.90117960004136
-25,0.3,1.0,1.0,False,fit_259e42491a2bc0422a44,3.9332381999702193
-20,0.309136360186055,1.0,1.0,False,fit_a3f0d7ff6eec5f6df6bb,4.5192766999825835
-25,0.309136360186055,1.0,1.0,False,fit_0c1125260ac41adfa097,4.172216800041497
-20,1.0,1.0,1.0,False,fit_5b7fce32e52919865a73,4.875493799976539
-25,1.0,1.0,1.0,False,fit_b67247d559698dd61565,4.62801089999266
-20,1.0,1.0,1.0,False,fit_5b7fce32e52919865a73,4.875493799976539
-25,1.0,1.0,1.0,False,fit_b67247d559698dd61565,4.62801089999266
-20,1.030454533953517,1.0,1.0,False,fit_f30c92b0da2dca2590f4,5.0020505000138655
-25,1.030454533953517,1.0,1.0,False,fit_c770f93333d9d0291e9f,4.677747999958228
