temp,j0,tau_b,tau_f,complete,run,wall_s
-20,0.3,1.0,1.0,True,fit_9e0726785b684bb71aea,6.672768000047654
-25,0.3,1.0,1.0,True,fit_d5565178d46fbc4feede,6.476329900033306
-20,0.3,1.0,1.0,True,fit_9e0726785b684bb71aea,6.672768000047654
-25,0.3,1.0,1.0,True,fit_d5565178d46fbc4feede,6.476329900033306
-20,0.309136360186055,1.0,1.0,True,fit_1fb13ced674f4e44ec8c,6.493069900025148
-25,0.309136360186055,1.0,1.0,True,fit_4a3403deefb32eb3eaac,6.294730700028595
-20,0.21471872763578187,1.0,1.0,True,fit_5dc5b23d074ddfca07a2,6.958076599985361
-25,0.21471872763578187,1.0,1.0,True,fit_760fd6a165c817db6018,6.110377499950118
-20,0.21471872763578187,1.0,1.0,True,fit_5dc5b23d074ddfca07a2,6.958076599985361
-25,0.21471872763578187,1.0,1.0,True,fit_760fd6a165c817db6018,6.110377499950118
-20,0.22125788641702174,1.0,1.0,True,fit_7a6a4d9fc781fd7ccac8,6.50735040003201
-25,0.22125788641702174,1.0,1.0,True,fit_5d9e3e39f3133f21ed4b,5.934504400007427
-20,0.2093346050219123,1.0,1.0,True,fit_76cbc9b150b9421d1101,6.682976599957328
-25,0.2093346050219123,1.0,1.0,True,fit_75f79bfd7b977de64a1f,6.135523299977649
-20,0.2093346050219123,1.0,1.0,True,fit_76cbc9b150b9421d1101,6.682976599957328
-25,0.2093346050219123,1.0,1.0,True,fit_75f79bfd7b977de64a1f,6.135523299977649
-20,0.21570979285819816,1.0,1.0,True,fit_a848119fa6f10d3444e0,7.0005980000132695
-25,0.21570979285819816,1.0,1.0,True,fit_06b35b91318023290633,5.050682800007053
