search,selection,reason,run,cell,t_s,T_C,V,activation_V,ohmic_V,concentration_V,lambda_mean,conductivity_min_S_m,membrane_D_min_m2_s,ice_bulk_max
q2_constant_search,longest_valid_time_per_stop_reason,voltage,q2_constant_46d7279a517adbe259af,1,146.09389529335849,-9.085269240852938,0.5467109178380753,0.4879994323813134,0.2144145983547007,5.114648082151045e-06,0.687177833254089,0.009449072625614948,7.187889509865336e-11,3.435607810109612e-22
q2_constant_search,longest_valid_time_per_stop_reason,voltage,q2_constant_46d7279a517adbe259af,2,146.09389529335849,-8.55811794565966,0.4206050524740643,0.4861083053270202,0.341922941196284,5.116888504864449e-06,0.6707272961461919,0.005141649696022329,7.343991858427173e-11,1.365763703411114e-20
q2_constant_search,longest_valid_time_per_stop_reason,voltage,q2_constant_46d7279a517adbe259af,3,146.09389529335849,-8.351767406950273,0.29999999900000024,0.4853065856410156,0.46312323981583065,5.1175676448523615e-06,0.6642527420699942,0.0034249920479894453,7.411307580876275e-11,3.3276698190954458e-21
q2_constant_search,longest_valid_time_per_stop_reason,voltage,q2_constant_46d7279a517adbe259af,4,146.09389529335849,-8.489763235699854,0.37008097042544613,0.48569172119993803,0.39275745550519764,5.116646591526835e-06,0.6674364080820968,0.00427200963190624,7.380793681642088e-11,7.735577192218126e-21
q2_constant_search,longest_valid_time_per_stop_reason,voltage,q2_constant_46d7279a517adbe259af,5,146.09389529335849,-8.962463576087146,0.510749329454059,0.4872270012303764,0.2509517645348461,5.1141446082420785e-06,0.6805243903942455,0.007721266911721091,7.255828920119357e-11,4.2370474591607606e-21
q2_constant_search,longest_valid_time_per_stop_reason,horizon,q2_constant_78419691ca0661c64180,1,300.0,-7.799604810703443,0.6635005108515718,0.4943338756908775,0.09016034720314639,6.471336013738038e-06,0.7786700167280945,0.03445380162244013,7.421741943516517e-11,1.8454959341641578e-21
q2_constant_search,longest_valid_time_per_stop_reason,horizon,q2_constant_78419691ca0661c64180,2,300.0,-7.200259797438719,0.6477558535474025,0.4922112954083142,0.10747225343655017,6.474565041816484e-06,0.7546165506794462,0.028256335836541684,7.608791027732467e-11,3.681412641731371e-21
q2_constant_search,longest_valid_time_per_stop_reason,horizon,q2_constant_78419691ca0661c64180,3,300.0,-6.981602777148169,0.6396899613112621,0.4913712970551684,0.11615893678020349,6.475483639823489e-06,0.7454137026407072,0.025852146297657322,7.68453004741956e-11,5.2878036921466546e-21
q2_constant_search,longest_valid_time_per_stop_reason,horizon,q2_constant_78419691ca0661c64180,4,300.0,-7.148040016491564,0.6444809161305591,0.491830520270613,0.11103000422512639,6.474075955726884e-06,0.7506206887905007,0.027225841766369673,7.64527682128449e-11,2.258311064130123e-21
q2_constant_search,longest_valid_time_per_stop_reason,horizon,q2_constant_78419691ca0661c64180,5,300.0,-7.698308222400669,0.6589758455529005,0.4935858130707793,0.0952406543079946,6.470348896741704e-06,0.7705260545284599,0.03239983744635058,7.492440790096281e-11,3.465241940257834e-21
