t_s,observed_K_s,model_K_s
0.0,0.006131896481344411,-0.02367391695167801
0.2,0.006367255322998934,-0.019929405248163223
0.4,0.006529029255175648,-0.01722144538155813
0.6,0.006617832542212831,-0.015786965228641456
0.8,0.0066785046372340685,-0.014216362743257539
1.0,0.006738307956536101,-0.01320180590675351
1.2,0.007047281709030622,-0.008188962274259803
1.4,0.007033439228687335,-0.008111215854540593
1.6,0.007006880990175398,-0.008092062013448668
1.8,0.0069942129489946134,-0.008055718629569076
2.0,0.006986939844913144,-0.007688084068678723
2.2,0.0070066016450608054,-0.007389315424282069
2.4,0.007014275299704179,-0.0074075415272063915
2.6,0.007026114928364276,-0.007152127387931079
2.8,0.007027466621529853,-0.007230510166693118
3.0,0.007014849054343937,-0.007057433653794702
3.2,0.006990137438114274,-0.0071333050406664385
3.4,0.006948103682735987,-0.007060362100854601
3.6,0.006900942511138712,-0.007049058420392437
3.8,0.006839953986125347,-0.007067725393755966
4.0,0.006765177822113895,-0.00708649560015121
4.2,0.006714970549392358,-0.006680855761634
4.4,0.006676496048999783,-0.006446785583539685
4.6,0.006674167294510205,-0.006513397299131875
4.8,0.006641710718015307,-0.0063655207551613115
5.0,0.0066250021363310155,-0.006155013515183329
5.2,0.006634387011160603,-0.005798571142844626
5.4,0.0067982388547815995,-0.0038364567074630623
5.6,0.00736981213193149,0.00015207021895967754
5.8,0.00856978723468884,0.005905605753940533
6.0,0.010657874026356725,0.014330181247640511
6.2,0.013853711156215972,0.024302508064698684
6.4,0.01811741787037943,0.03436301381592182
6.6,0.023331684241181865,0.04460785412532576
6.8,0.029408542698362475,0.05475379613357232
7.0,0.036207220974965225,0.06435551827093748
7.2,0.043555553395260696,0.07315073766319158
7.4,0.0512068732543434,0.08029076423057242
7.6,0.059004485882682464,0.0874402120028614
7.8,0.06704686051497252,0.09566406824786772
8.0,0.07533818145700653,0.10355507989517271
8.2,0.08386963527861674,0.11252192799728598
8.4,0.09266491894655246,0.1214203505513257
8.6,0.10154397092937921,0.1292826985223067
8.8,0.1148939851859715,0.1408347292916546
9.0,0.11910911068347861,0.1444353572018658
9.2,0.12774909178638946,0.15164213065585558
9.4,0.13627363092225073,0.1591563222384508
9.6,0.14467974081330942,0.16633815576130917
9.8,0.15302321523611256,0.1744099526749878
10.0,0.1614213064879885,0.18275007610428448
10.2,0.16982652527925135,0.19072148769584402
10.4,0.17824971850291865,0.1991991950784365
10.6,0.18668653975986166,0.2072856813647799
10.8,0.1950797868299009,0.21533209577811946
11.0,0.20336397580319485,0.2227661433426772
11.2,0.2116495342333566,0.2316745176196394
11.4,0.22002952318042326,0.24019119515604384
11.6,0.22844078600638174,0.24897897907609534
11.8,0.23691166309048983,0.25811168425166287
12.0,0.2453178480656555,0.26689736824977056
12.2,0.25351516182916695,0.275094521159202
12.4,0.26137046959289373,0.2825002325514849
12.6,0.26887483462539347,0.29019130394445863
12.8,0.2759488680722151,0.29592626075686546
13.0,0.28233440558417877,0.29917602303316826
13.2,0.2876673293493382,0.29781597495849477
13.4,0.29181093872933056,0.29475244460417677
13.6,0.2947964222428533,0.2891004090524584
13.8,0.29658490610520855,0.28281176284669224
14.0,0.2973838478541698,0.2770496883984692
14.2,0.2971584337736517,0.26987942593925185
14.4,0.2959625443145133,0.263959410540726
14.6,0.2941541089439257,0.2599649323217831
14.8,0.29209936109677426,0.25872602323893784
15.0,0.2900797172095836,0.25900154003450626
15.2,0.28823059513451743,0.260428786626159
15.4,0.2865352446342066,0.2608643818523236
15.6,0.2849162215924367,0.2605287296531095
15.8,0.28338298068850076,0.25970069360596665
16.0,0.281881490546496,0.25856957005726794
16.2,0.28039776656440357,0.25771163759971244
16.4,0.27889177122448633,0.25624310741520967
16.6,0.27653793514211256,0.2542926384165707
16.8,0.27571302209343446,0.2538345081204315
17.0,0.27406144089137824,0.25240731005426914
17.2,0.2723326032005181,0.25099142101502986
17.4,0.2705654807670186,0.24983318149736103
17.6,0.26880006369844756,0.24891120752071494
17.8,0.2670404704652474,0.2479413134597754
18.0,0.26530941312673134,0.2473060663269033
18.2,0.2636210238332397,0.24650380856432566
18.4,0.26195597900195816,0.24570627739815878
18.6,0.2603343702978955,0.24496247833203086
18.8,0.25877601205480666,0.24428126535334457
19.0,0.2572761579822791,0.24349497837858475
19.2,0.2558135686545469,0.2425007380390892
19.4,0.2543586654324553,0.24127278890035614
19.6,0.2529046963798513,0.24004370166807548
19.8,0.25149816091398997,0.23918268955419808
20.0,0.2501305557576837,0.23805523577625745
20.2,0.24876750680373672,0.23695199645076567
20.4,0.24741519163331305,0.23586308899330477
20.6,0.2460675860883425,0.23484801061789545
20.8,0.24475010913136366,0.23411529690933416
21.0,0.24346154524289937,0.2332876555042449
21.2,0.24218477697610646,0.23247701201671728
21.4,0.24090259910266937,0.23142282486080076
21.6,0.2395891603657737,0.23037923714822442
21.8,0.23824963872759258,0.22931778823276783
22.0,0.23692049066511334,0.2285600788724025
22.2,0.23558205530157098,0.22738463130862993
22.4,0.23424986762295513,0.22677016608179756
22.6,0.2329499276826413,0.22591089580536042
22.8,0.23161589865148782,0.2246885744663604
23.0,0.23029302930273365,0.22417660227312236
23.2,0.22911917951772612,0.22488951214468542
23.4,0.22834363612644396,0.22804352282234822
23.6,0.22823534353028163,0.2333707386836183
23.8,0.22902392766368063,0.24143988670438823
24.0,0.23100751788439347,0.25278360927507476
24.2,0.23432841558880674,0.2656070725267662
24.4,0.23880627371298568,0.2778706703677293
24.6,0.2442758978899838,0.29081321311980773
24.8,0.25061551223892053,0.3033500382828265
25.0,0.25753703272879347,0.3144426949469756
25.2,0.2647646126038984,0.3242338027297267
25.4,0.272040102944277,0.33240588033279705
25.6,0.2792435682450542,0.34048356003559643
25.8,0.2864583483704791,0.34932307741351093
26.0,0.29376926965784184,0.358770287243835
26.2,0.3012915237243114,0.3693908060148543
26.4,0.30895635494840645,0.37868442560701215
26.6,0.3165236625080304,0.38663251699315954
26.8,0.3239309214771802,0.39450796101645463
27.0,0.33117264531476387,0.40187194186233877
27.2,0.338018107416587,0.40648440541446723
27.4,0.34412173890542624,0.40807727713795633
27.6,0.34915285257298667,0.40614462464344775
27.8,0.35292180707847237,0.40226697072446266
28.0,0.3554889051196899,0.3977647168267671
28.2,0.3569767034911918,0.3927722159330231
28.4,0.3575128504345148,0.3874195465982612
28.6,0.3570311631825782,0.3797497556092566
28.8,0.35565227513286485,0.3736822671959452
29.0,0.3537730998975558,0.36915020486564176
29.2,0.3517451274569034,0.36707953619819367
29.4,0.3497781961294852,0.3655399468885367
29.6,0.34785026574706385,0.3637649476527361
29.8,0.3459141629334699,0.3616011936608644
30.0,0.3439622289659532,0.35954742057095207
30.2,0.34203860683900467,0.3578602772585679
30.4,0.3401696271573377,0.3562903621511535
30.6,0.33839429798071735,0.3551220071712901
30.8,0.3366251494090287,0.35271651132995174
31.0,0.3348276275700396,0.35099008240179846
31.2,0.3330423616250398,0.34889201810869797
31.4,0.3312717289498472,0.3472691687705827
31.6,0.329569650107944,0.34582809457081515
31.8,0.32789476272948737,0.3439569901133947
32.0,0.3262154358537434,0.34200569617191073
32.2,0.32363299006281726,0.3389232664138828
32.3999999999999,0.32281081104215564,0.33819348797082405
32.6,0.3211631763875843,0.3367492307130411
32.7999999999999,0.3196080325270961,0.3357396225723432
33.0,0.3181164267631272,0.33432028242455375
33.1999999999999,0.3166450240088692,0.33280577711300474
33.3999999999999,0.3151745849903549,0.3310204218866995
33.5999999999999,0.313688724577216,0.32930415865129015
33.7999999999999,0.3122163513977676,0.32775584548592734
33.9999999999999,0.31078320146080096,0.3264614973591661
34.1999999999999,0.30941989790597857,0.32537425566477735
