t_s,observed_K_s,model_K_s
0.0,0.006131896481344411,-0.02721401651295149
0.2,0.006367255322998934,-0.022914721264632197
0.4,0.006529029255175648,-0.01984863533369693
0.6,0.006617832542212831,-0.018149933369458797
0.8,0.0066785046372340685,-0.016388916225201992
1.0,0.006738307956536101,-0.015227520830834703
1.2,0.007047281709030622,-0.009488759384839021
1.4,0.007033439228687335,-0.009419072773598613
1.6,0.007006880990175398,-0.009382170675004691
1.8,0.0069942129489946134,-0.009338648503568718
2.0,0.006986939844913144,-0.008940910032700214
2.2,0.0070066016450608054,-0.008613161231424065
2.4,0.007014275299704179,-0.008624589268777717
2.6,0.007026114928364276,-0.008357239608229669
2.8,0.007027466621529853,-0.008418188070925732
3.0,0.007014849054343937,-0.008226186222993254
3.2,0.006990137438114274,-0.008282944120600952
3.4,0.006948103682735987,-0.00818788233478504
3.6,0.006900942511138712,-0.0081566020491294
3.8,0.006839953986125347,-0.008157595230104548
4.0,0.006765177822113895,-0.008166001017461226
4.2,0.006714970549392358,-0.007707412230461716
4.4,0.006676496048999783,-0.0074439184163280865
4.6,0.006674167294510205,-0.007506312036315109
4.8,0.006641710718015307,-0.007344952613726525
5.0,0.0066250021363310155,-0.007101296300813043
5.2,0.006634387011160603,-0.006682957228606962
5.4,0.0067982388547815995,-0.004730518188823644
5.6,0.00736981213193149,-0.0007439854653458987
5.8,0.00856978723468884,0.005015765075819801
6.0,0.010657874026356725,0.013421087202812779
6.2,0.013853711156215972,0.023400785588292488
6.4,0.01811741787037943,0.03342811730032803
6.6,0.023331684241181865,0.04363582372673152
6.8,0.029408542698362475,0.05371726749102509
7.0,0.036207220974965225,0.06324384667751932
7.2,0.043555553395260696,0.07193984812576888
7.4,0.0512068732543434,0.0790003011858391
7.6,0.059004485882682464,0.08598654726397005
7.8,0.06704686051497252,0.09402488840516421
8.0,0.07533818145700653,0.10173449469382023
8.2,0.08386963527861674,0.11051044093857551
8.4,0.09266491894655246,0.11927635144335771
8.6,0.10154397092937921,0.1269693261065105
8.8,0.1148939851859715,0.13831733482875938
9.0,0.11910911068347861,0.1418757835928544
9.2,0.12774909178638946,0.14900414812752488
9.4,0.13627363092225073,0.15643242674782912
9.6,0.14467974081330942,0.16346435871066287
9.8,0.15302321523611256,0.17142957573742792
10.0,0.1614213064879885,0.17965054323757762
10.2,0.16982652527925135,0.1875252612437142
10.4,0.17824971850291865,0.19592167540605268
10.6,0.18668653975986166,0.20392329424335762
10.8,0.1950797868299009,0.21190967734501714
11.0,0.20336397580319485,0.21923185696029435
11.2,0.2116495342333566,0.22811621728058773
11.4,0.22002952318042326,0.23654239961990914
11.6,0.22844078600638174,0.24517342968505018
11.8,0.23691166309048983,0.25399511359101656
12.0,0.2453178480656555,0.26248100395716856
12.2,0.25351516182916695,0.27033856128308836
12.4,0.26137046959289373,0.27745078432563997
12.6,0.26887483462539347,0.2848839660731545
12.8,0.2759488680722151,0.2904983504802295
13.0,0.28233440558417877,0.2939235671153938
13.2,0.2876673293493382,0.2929159477605755
13.4,0.29181093872933056,0.2902909821037997
13.6,0.2947964222428533,0.28439136934926984
13.8,0.29658490610520855,0.2778061843777993
14.0,0.2973838478541698,0.27167829761595735
14.2,0.2971584337736517,0.2641238616721156
14.4,0.2959625443145133,0.2577792410434695
14.6,0.2941541089439257,0.25332181345685156
14.8,0.29209936109677426,0.2516077900201783
15.0,0.2900797172095836,0.25154047295597287
15.2,0.28823059513451743,0.2529227857270986
15.4,0.2865352446342066,0.2536612266239481
15.6,0.2849162215924367,0.2538550070625556
15.8,0.28338298068850076,0.25296425573688597
16.0,0.281881490546496,0.25175564262026534
16.2,0.28039776656440357,0.25080399514276036
16.4,0.27889177122448633,0.24927899886781985
16.6,0.27653793514211256,0.2472042897500781
16.8,0.27571302209343446,0.24670647684988872
17.0,0.27406144089137824,0.24521813253787306
17.2,0.2723326032005181,0.24374187486715737
17.4,0.2705654807670186,0.24254842128050177
17.6,0.26880006369844756,0.24156298091953549
17.8,0.2670404704652474,0.24058584542458278
18.0,0.26530941312673134,0.2399413890132549
18.2,0.2636210238332397,0.23905681459073874
18.4,0.26195597900195816,0.238202265537965
18.6,0.2603343702978955,0.23743138720653092
18.8,0.25877601205480666,0.23670367899384803
19.0,0.2572761579822791,0.23585490156709782
19.2,0.2558135686545469,0.23481395930188412
19.4,0.2543586654324553,0.23355237278483806
19.6,0.2529046963798513,0.23227708857984775
19.8,0.25149816091398997,0.2313133158619307
20.0,0.2501305557576837,0.23025504592146512
20.2,0.24876750680373672,0.22908893923444987
20.4,0.24741519163331305,0.2279249622201831
20.6,0.2460675860883425,0.22683178282443253
20.8,0.24475010913136366,0.2260080959983247
21.0,0.24346154524289937,0.22510604612462215
21.2,0.24218477697610646,0.22419071277734604
21.4,0.24090259910266937,0.2230231171547861
21.6,0.2395891603657737,0.22191261267021936
21.8,0.23824963872759258,0.2207542008862132
22.0,0.23692049066511334,0.21986494350877697
22.2,0.23558205530157098,0.21874212189718062
22.4,0.23424986762295513,0.21803380838268924
22.6,0.2329499276826413,0.21709082353423884
22.8,0.23161589865148782,0.21580863881336146
23.0,0.23029302930273365,0.21518753154552983
23.2,0.22911917951772612,0.21577173624435123
23.4,0.22834363612644396,0.21871689815030784
23.6,0.22823534353028163,0.22376859842052355
23.8,0.22902392766368063,0.2315413051114424
24.0,0.23100751788439347,0.2424582306781433
24.2,0.23432841558880674,0.2548483974691921
24.4,0.23880627371298568,0.2666536102930883
24.6,0.2442758978899838,0.27912449222640884
24.8,0.25061551223892053,0.29108129789900017
25.0,0.25753703272879347,0.30163003307433767
25.2,0.2647646126038984,0.3108949027825542
25.4,0.272040102944277,0.3184258786816547
25.6,0.2792435682450542,0.32585464399635383
