case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,candidate_id,numerically_accepted,config_requested,code_hash,evaluation,best_so_far,protocol_json
83ac3a1b51abebe8,infeasible,charge,,80.61409907281258,0.0,charge,charge,0.0,20.0,3.2651483000372536,760,5.664914229550851e-14,4.2457423624634106e-16,,0.5890520314068746,8.5759844002654175e-19,6.294605223695953,q2_step_0db9e38220f605e55c21,True,83ac3a1b51abebe8,904567fd11d251fb,1,inf,"{""kind"": ""step"", ""params"": [0.14467202302624202, 0.2530054420102996, 0.44381381773264694, 3.6535888176596103, 104.67824759391331], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,66.43420325996773,0.0,charge,charge,0.0,19.999999999999996,3.0580384000204504,693,2.2874101255510935e-14,4.776460157771337e-16,,0.5702465271251289,3.4526675904890577e-20,7.194464291027373,q2_step_3340181ead712590be39,True,83ac3a1b51abebe8,904567fd11d251fb,2,inf,"{""kind"": ""step"", ""params"": [0.2929421120368679, 0.3059917138118783, 0.47505190449684653, 25.159059786245628, 70.51397918838389], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,50.546820446519774,0.0,charge,charge,0.0,20.0,20.465612999978475,3059,5.1625268792556476e-12,5.307177953079263e-16,,0.5197235429076821,0.0024776979821340473,9.04279575782192,q2_step_85710c3bbf3a3c9ea687,True,83ac3a1b51abebe8,904567fd11d251fb,3,inf,"{""kind"": ""step"", ""params"": [0.22058272708698695, 0.46764612287955865, 0.46902103230731323, 14.905109322925352, 18.193912406855976], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,80.95960967989653,0.0,charge,charge,0.0,20.0,3.575226900051348,838,2.034768507709102e-14,1.0614355906158526e-15,,0.5623692200768584,8.3774217262106325e-19,6.939942958457266,q2_step_3b6e2b91e157f8b6dafc,True,83ac3a1b51abebe8,904567fd11d251fb,4,inf,"{""kind"": ""step"", ""params"": [0.19503797989705224, 0.29953743684303524, 0.3886657546205177, 40.674220666293444, 82.92741977992733], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,92.45189126145586,0.0,charge,charge,0.0,20.0,4.566302400024142,1038,7.553196201702534e-14,3.184306771847558e-16,,0.5305327959791054,1.8629369757158746e-18,7.3752867397811315,q2_step_5a1fd572da7f71c821ff,True,83ac3a1b51abebe8,904567fd11d251fb,5,inf,"{""kind"": ""step"", ""params"": [0.00217606723094235, 0.1568225987763044, 0.31007910379154013, 18.87626561639004, 37.50738397375025], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,70.22199974476518,0.0,charge,charge,0.0,20.0,3.9937562000122853,954,3.353317327310075e-14,2.1228711812317053e-16,,0.5488463989548524,8.40894982094656e-19,7.723290636856973,q2_step_26da1fb04c3a7a0b5ffa,True,83ac3a1b51abebe8,904567fd11d251fb,6,inf,"{""kind"": ""step"", ""params"": [0.11465486321029968, 0.18584785023411984, 0.34370854696018105, 1.7718461304112194, 25.400613081665547], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,74.98395652830627,0.0,charge,charge,0.0,19.999999999999996,3.7448589999694377,838,2.7284876327764623e-14,4.2457423624634106e-16,,0.5420873121020222,4.0194634767206215e-20,7.506190674868833,q2_step_cd039c22ba6bacea829c,True,83ac3a1b51abebe8,904567fd11d251fb,7,inf,"{""kind"": ""step"", ""params"": [0.2065453863979451, 0.3471682304367394, 0.4720489789713895, 42.89521763201844, 85.25988837658012], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,106.89823053098108,0.0,charge,charge,0.0,19.999999999999996,4.818165700009558,1127,8.87858199222523e-14,5.837895748387189e-16,,0.4947306987343685,8.553734072797619e-19,7.16347975922065,q2_step_56f2fed4c401803ebfb5,True,83ac3a1b51abebe8,904567fd11d251fb,8,inf,"{""kind"": ""step"", ""params"": [0.05919483390288112, 0.27927116978947764, 0.37206485914523396, 48.19428042665174, 98.78532152388175], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,85.77313111989871,0.0,charge,charge,0.0,20.0,4.017911100003403,994,4.987708121750627e-14,3.715024567155484e-16,,0.5570423608108968,1.0226047082053198e-18,7.034024781990354,q2_step_cfeb1ad069490fb610e4,True,83ac3a1b51abebe8,904567fd11d251fb,9,inf,"{""kind"": ""step"", ""params"": [0.12236182302103013, 0.20451352655271765, 0.29810150696287513, 26.928037145844215, 35.86908815382525], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,119.3539645731251,0.0,charge,charge,0.0,20.0,4.932092200033367,1203,9.393396335999132e-14,1.0614355906158526e-15,,0.35923424048436003,1.899302629434016e-19,8.082470502634123,q2_step_5caf11d5051a6e50def8,True,83ac3a1b51abebe8,904567fd11d251fb,10,inf,"{""kind"": ""step"", ""params"": [0.049267444503038785, 0.3577124343640784, 0.4288941688831046, 75.11111724483305, 112.70548119778894], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
