minutes,T1_C,T2_C,T3_C,T4_C,T5_C,mean_C,delta_T_K,total_sensible_J
0.0,25.0,25.0,25.000000000000057,24.999999999999886,25.000000000000057,25.0,1.7053025658242404e-13,6854.827253306879
0.25,24.665182249479017,24.926242717434945,24.978418825677693,24.94454613271654,24.744928692271912,24.851863723516022,0.3132365761986762,6692.372741225338
0.5,24.13714571667134,24.670175330010522,24.828860366936226,24.72589103279131,24.288156494589316,24.530045788199743,0.6917146502648848,6532.272210475054
0.75,23.59104987818006,24.304169548094308,24.544149327351363,24.38842784431114,23.786741467095567,24.122907613006486,0.9530994491713045,6374.172347405482
1.0,23.039838245055023,23.87002171130831,24.164306671098927,23.973325745559237,23.264189822909145,23.662336439186127,1.1244684260439044,6217.953217257827
1.25,22.487639725072995,23.392577960438416,23.72197974128966,23.50817725888612,22.730144734565158,23.16810388405047,1.2343400162166631,6063.530888432234
1.5,21.936775769584358,22.888125504337097,23.2396728084438,23.011458221199575,22.190425712679144,22.653291603248796,1.3028970388594416,5910.843527953014
1.75,21.388737467984356,22.367528763421603,22.732525156093857,22.495537807220728,21.648848005466164,22.12663544003734,1.3437876881095008,5759.844027906726
2.0,20.84449958570559,21.838049377014386,22.21067655855984,21.96869065496594,21.1079425390422,21.59397174305759,1.366176972854248,5610.4952003185235
2.25,20.304695116604705,21.304536489038867,21.680907482895407,21.43644558119007,20.56938546895816,21.05919402773744,1.3762123662907015,5462.766568364891
2.5,19.769728503465785,20.770221816768583,21.14774488814976,20.902490054108284,20.03428057408337,20.524893167315156,1.3780163846839741,5316.632215199926
2.75,19.23985116139687,20.23725254705414,20.614204481779325,20.369276797510736,19.503348041734057,19.992786605895027,1.374353320382454,5172.069340726404
3.0,18.71521208484438,19.707048704627766,20.082288604737187,19.83843062804715,18.977051015236498,19.464006207498596,1.3670765198928052,5029.057293034775
3.25,18.19589178249032,19.18054282856582,19.553320161295744,19.311021312945286,18.45568045808426,18.939291308676285,1.357428378805423,4887.576918186458
3.5,17.681925034490575,18.658340717704675,19.028166579934407,18.787746569662488,17.939412067948297,18.419118193948087,1.3462415454438315,4747.610123511489
3.75,17.173316153432268,18.14082923835872,18.507390018828062,18.269054798991647,17.42834444562658,17.903786931047456,1.3340738653957942,4609.139584113862
4.0,16.670049217682163,17.62824862744577,17.99134810449158,17.755227398216505,16.922524692043908,17.393479607975983,1.3212988868094158,4472.148545430773
4.25,16.172094932797847,17.12074098315759,17.48026149366541,17.24643396516518,16.42196557345227,16.88829938964766,1.3081665608675621,4336.620690220448
4.5,15.679415231432301,16.618382784939513,16.97425918399989,16.742769320568073,15.926657031569277,16.388296710501812,1.2948439525675894,4202.540048767591
4.75,15.191966356489218,16.121206702151255,16.47340890116851,16.244278336217633,15.436573900973315,15.893486839399987,1.2814425446792939,4069.890938080684
5.0,14.70970092702595,15.629216218802355,15.977737476958339,15.75097258466326,14.951681082786422,15.403861658047266,1.2680365499323898,3938.6579205398407
5.25,14.232569321908954,15.142395440136454,15.487244514458723,15.262841503744085,14.471937012355,14.919397558520643,1.2546751925497688,3808.8257755960535
5.5,13.760520605909562,14.660715667765771,15.001911551018736,14.779859882321375,13.99729598276673,14.440060737956435,1.241390945109174,3680.3794802298694
5.75,13.293503148933326,14.184139807526492,14.52170820163576,14.301992878711815,13.527709701022957,13.96581074756607,1.2282050527024353,3553.3041952908675
6.0,12.831465039449256,13.712625323789723,14.046596277181322,13.829199384363392,13.063128329591109,13.49660287087496,1.2151312377320664,3427.585255787298
6.25,12.374354359908068,13.246126218914185,13.576532544397764,13.361434277730496,12.603501182837988,13.0323897167577,1.2021781844896964,3303.2081638307827
6.5,11.9221193696103,12.784594358893344,13.111470574970724,12.898649933846002,12.148777192023942,12.573122285868862,1.189351205360424,3180.158583367655
6.75,11.474708625516598,12.327980360519348,12.651361983675827,12.440797234723107,11.698905215101036,12.118750683907184,1.1766533581592284,3058.422336114184
7.0,11.032071061451177,11.876234184481689,12.196157256807965,11.987826244994949,11.253834242450864,11.669224598037328,1.1640861953567878,2937.9853983049784
7.25,10.594156039414486,11.429305531256603,11.745806305838869,11.539686663056614,10.81351353285612,11.224493614484539,1.151650266424383,2818.8338979923783
7.5,10.160913382204058,10.987144104747983,11.300258836809519,11.096328121663475,10.377892702707015,10.78450742962641,1.1393454546054613,2700.9541127208686
7.75,9.732293393513544,10.549699787249722,10.859464596157977,10.657700387585066,9.946921783868447,10.349215989674951,1.1271712026444334,2584.3324674586056
8.0,9.308246869649508,10.116922754948916,10.423373533695894,10.223753493578727,9.520551260552395,9.918569582485087,1.115126664046386,2468.9555327067337
8.25,8.888725105638912,9.68876355356889,9.991935910036318,9.794437824994645,9.098732092134867,9.492518897274726,1.1032108043974063,2354.810022733347
8.5,8.473679897592149,9.265173147294888,9.565102366785936,9.369704175973027,8.681415726568446,9.07101506284289,1.0914224691937875,2241.8827938963827
8.75,8.063063542566624,8.846102949799388,9.142823971783969,8.949503785271418,8.268554107512273,8.654009671386735,1.0797604292173446,2130.160843031387
9.0,7.656828836772718,8.43150484327839,8.725052247624262,8.533788358448192,7.860099677270114,8.241454792678734,1.0682234108515445,2019.6313058879794
9.25,7.2549290726785784,8.021331189463638,8.311739188984802,8.122510080920051,7.456005376940766,7.8333029817975675,1.0568101163062238,1910.28145560421
9.5,6.85731803539602,7.615534835271603,7.902837272469526,7.715621624916309,7.056224644719407,7.429507282554573,1.0455192370735062,1802.0987012112985
9.75,6.463949998595126,7.214069114870767,7.498299461448028,7.3130761523627825,6.660711412982039,7.030021228051749,1.0343494628529015,1695.0705861638783
10.0,6.074779720121683,6.816887849365344,7.098079207557191,6.9148273150546515,6.269420104574294,6.634798839334633,1.0232994874355086,1589.184786892338
10.25,5.689762437426793,6.423945344895458,6.702130449984452,6.5208292530306835,5.8823056285876305,6.243794622785003,1.0123680125576584,1484.4291113747906
10.5,5.308853862888611,6.035196389693624,6.310407613280233,6.131036591762495,5.499323375813162,5.856963566687625,1.001553750391622,1380.7914977272676
10.75,4.932010179074155,5.650596250456545,5.922865604202741,5.745404438565856,5.120429213998136,5.474261137259487,0.9908554251285864,1278.2600128108093
11.0,4.559188033978444,5.270100668275006,5.539459807930996,5.363888378511774,4.745579482991957,5.095643274337635,0.9802717739525519,1176.8228508547372
11.25,4.190344536260852,4.89366585428337,5.16014608387286,4.986444470019364,4.374730989835314,4.721066386854352,0.9698015476120077,1076.4683320954898
11.5,3.82543725049635,4.521248485137733,4.784880761217266,4.613029240254434,4.0078410038333345,4.350487348187824,0.9594435107209165,977.184901430546
11.75,3.464424192450849,4.152805698394616,4.4136206343349045,4.243599680416082,3.644867251634764,3.983863491446243,0.9491964418840553,878.9611270871221
12.0,3.10726382438736,3.7882950878397423,4.04632295809148,3.8781132409661723,3.2857679123345633,3.6211526047238634,0.9390591337041201,781.7856993053624
12.25,2.7539150504078407,3.4276746987990236,3.6829454431215254,3.5165278268388533,2.9305016126121473,3.262312926355878,0.9290303927136847,685.6474290356765
12.5,2.4043372118336492,3.070903023453127,3.3234462510916956,3.1588017926528664,2.57902742190862,2.9073031401879916,0.9191090392580463,590.5352466502105
12.75,2.0584900826259513,2.7179389961702327,2.9677839899736114,2.804893937945792,2.231304847651188,2.556082370873355,0.90929390734766,496.43820066806364
13.0,1.7163338648484796,2.3687419888672707,2.615917709339385,2.454763502436606,1.887293830525607,2.2086101792034696,0.8995838444909054,403.34545649418334
13.25,1.3778291841714463,2.0232718064044093,2.2678068956903417,2.1083701613283097,1.546954739796945,1.8648465574782904,0.8899777115188954,311.2462951717858
13.5,1.0429370854199078,1.6814886820183688,1.9234114678208698,1.7656740206498398,1.2102483686827554,1.5247519249183483,0.880474382400962,220.1301121480895
13.75,0.7116190281628292,1.3433532727960937,1.582691772225644,1.4266356126452706,0.8771359297753065,1.1882871231210288,0.8710727440628148,129.9864160532369
14.0,0.38383688234722513,1.008826655191001,1.2456085785483992,1.0912158912069003,0.547579050515651,0.8554134115618354,0.8617716962011741,40.80482749225868
14.25,0.05955292397368339,0.6778703205827696,0.9121230750764084,0.7593762273575635,0.22153976871732084,0.5260924631415491,0.852570151102725,-47.424922150032145
