minutes,T1_C,T2_C,T3_C,T4_C,T5_C,mean_C,delta_T_K,total_sensible_J
10.0,6.074779720121683,6.816887849365344,7.098079207557191,6.9148273150546515,6.269420104574294,6.634798839334633,1.0232994874355086,1589.184786892338
15.0,-0.8926810652908443,-0.2939559395880451,-0.06712922493045426,-0.2150425450339526,-0.735846050781447,-0.44093096512494867,0.8255518403603901,-306.5041867616609
20.0,-6.514506349631972,-6.031435980177207,-5.848435927072046,-5.967797819176724,-6.3880279265029,-6.15004080051217,0.6660704225599261,-1836.055112851058
25.0,-11.050542073642816,-10.66077786706444,-10.513128048983049,-10.609441282410614,-10.948511982407126,-10.756480250901609,0.5374140246597676,-3070.1847984729184
30.0,-14.710483922706885,-14.39600119759541,-14.276870411321624,-14.35458306260756,-14.628166306395144,-14.473220980125324,0.4336135113852606,-4065.951631211123
35.0,-17.663537799415764,-17.409795492197105,-17.313674405370534,-17.37637793247464,-17.597121092456717,-17.472101344382953,0.34986339404522937,-4869.393600718481
40.0,-20.04623224717838,-19.84149849291134,-19.763942618964677,-19.814535582216195,-19.992644004450625,-19.891770589144244,0.28228962821370374,-5517.6568056759625
45.0,-21.968727419663622,-21.80353649012511,-21.740959994773135,-21.781781354328075,-21.925489519632663,-21.84409895570452,0.2277674248904873,-6040.712855589845
50.0,-23.519907195043203,-23.386621662218488,-23.3361313596248,-23.369068395204607,-23.48502042412204,-23.41934980724263,0.1837758354184018,-6462.744569344758
55.0,-24.771488300725963,-24.66394586858084,-24.62320739192583,-24.649782891518782,-24.74333966352401,-24.690352823255086,0.14828090880013178,-6803.26403651174
60.0,-25.781335949358947,-25.694564529147925,-25.661694383721112,-25.683137027077578,-25.7586240145298,-25.715871180767074,0.1196415656378349,-7078.014733534193
65.0,-26.596139133126456,-26.52612695950441,-26.499605435480447,-26.516906594196627,-26.577813839006495,-26.543318392262886,0.09653369764600939,-7299.699402966971
70.0,-27.253569219968256,-27.197079370434523,-27.175680279128784,-27.189639849484166,-27.238783318856264,-27.210950407574398,0.07788894083947184,-7478.567348322929
75.0,-27.784021637757633,-27.738442377190864,-27.721176359221914,-27.732439743751115,-27.772091522219853,-27.749634328028275,0.06284527853571831,-7622.888297343559
80.0,-28.212021166700282,-28.175245197000265,-28.161313980358642,-28.17040192701853,-28.202395263161378,-28.18427550684782,0.050707186341639954,-7739.334742148219
85.0,-28.55735581052042,-28.52768284235887,-28.516442335279294,-28.52377501349983,-28.549589077757588,-28.5349690158832,0.04091347524112621,-7833.290433263485
90.0,-28.835991669100537,-28.812049811230935,-28.802980323426596,-28.808896750082738,-28.829725022272783,-28.817928715222717,0.03301134567394115,-7909.099290354454
95.0,-29.06081111040251,-29.041493442040263,-29.034175657490465,-29.03894937090334,-29.05575481920772,-29.04623688000886,0.026635452912046276,-7970.266237723167
100.0,-29.242208370053987,-29.226621763827126,-29.220717354242424,-29.22456906086748,-29.238128663417797,-29.230449042481762,0.021491015811562875,-8019.61924994333
