temp,j0,tau_b,tau_f,complete,run,wall_s
-20,0.3,1.0,1.0,True,fit_f626f42c2e818a4dd8cf,6.48665090004215
-25,0.3,1.0,1.0,True,fit_6dfb2335512b62304dac,5.431855000031646
-20,0.3,1.0,1.0,True,fit_f626f42c2e818a4dd8cf,6.48665090004215
-25,0.3,1.0,1.0,True,fit_6dfb2335512b62304dac,5.431855000031646
-20,0.309136360186055,1.0,1.0,True,fit_9781b5c1fa12edf5d94f,7.332073100027628
-25,0.309136360186055,1.0,1.0,True,fit_a8b9ad03f7322833d57f,5.790810299979057
-20,0.27229009423423095,1.0,1.0,True,fit_22a0dad3772f88db5f11,6.621364499966148
-25,0.27229009423423095,1.0,1.0,True,fit_fd1eed9528496f27a7c0,5.840780200029258
-20,0.27229009423423095,1.0,1.0,True,fit_22a0dad3772f88db5f11,6.621364499966148
-25,0.27229009423423095,1.0,1.0,True,fit_fd1eed9528496f27a7c0,5.840780200029258
-20,0.2805825621542936,1.0,1.0,True,fit_25aec54d428870f97f44,7.107448399998248
-25,0.2805825621542936,1.0,1.0,True,fit_62341f31d3767482ca76,6.216111499990802
