candidate,cache_hit,case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,candidate_id,numerically_accepted,config_requested,code_hash,E_aux_to_success_J
fit_32d3c040969b2c022951,False,b2076f82d2f940d9,infeasible,voltage,,9.467682055804632,0.0,voltage,voltage,0.0,2.5176584445651278,4.795167000032961,1477,7.744363426734851e-12,9.098362296284979e-11,,-9.924244585846065e-16,0.02475573586839305,0.0,fit_32d3c040969b2c022951,True,b2076f82d2f940d9,3ebb7305e7395efa,
fit_f5a148b01c5b96fedc64,False,69ee69e2ec8830fd,infeasible,voltage,,9.645829597476487,0.0,voltage,voltage,0.0,2.724697776883701,4.894895899982657,1581,3.39966119329081e-12,1.6122676215787352e-09,,2.030168567979107e-16,0.02313729303056495,0.0,fit_f5a148b01c5b96fedc64,True,69ee69e2ec8830fd,3ebb7305e7395efa,
fit_34e2e110a9e2376718a4,False,f04d5bd8b7e18211,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423887132466776,7.111551899986807,2309,4.882298204119271e-12,2.1736506062128203e-10,,0.5212020342409349,0.1363814461622034,0.0,fit_34e2e110a9e2376718a4,True,f04d5bd8b7e18211,3ebb7305e7395efa,
fit_75ca3a79cd4be2015edf,False,cf4376961545ff0c,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423801798091303,7.178560399974231,2403,4.207274293529514e-11,3.3132481685657704e-09,,0.5789713631839554,0.07399993666825763,0.0,fit_75ca3a79cd4be2015edf,True,cf4376961545ff0c,3ebb7305e7395efa,
fit_2706b0553bc568aff6e1,False,683ce9cbb218c93c,infeasible,voltage,,9.198058807246813,0.0,voltage,voltage,0.0,2.221578784684848,4.163810600002762,1310,2.423710915089202e-12,1.0712519474771402e-10,,1.0023449084628488e-16,0.035044560797886155,0.0,fit_2706b0553bc568aff6e1,True,683ce9cbb218c93c,3ebb7305e7395efa,
fit_aa262f2f2cc07c0704ef,False,f29faee44d953cb8,infeasible,voltage,,9.336419940109254,0.0,voltage,voltage,0.0,2.371515771923563,4.293152600002941,1366,3.595649525198125e-12,2.594237792067921e-10,,-2.8406096919120216e-16,0.0342759641308483,0.0,fit_aa262f2f2cc07c0704ef,True,f29faee44d953cb8,3ebb7305e7395efa,
fit_b4635d2be5829904df89,False,7b73ee5abb79e9dd,infeasible,voltage,,9.643508977460776,0.0,voltage,voltage,0.0,2.7219450967497334,4.657657000003383,1556,1.5227352363674594e-12,1.5293719250303168e-09,,9.741556519782257e-17,0.0231004106181634,0.0,fit_b4635d2be5829904df89,True,7b73ee5abb79e9dd,3ebb7305e7395efa,
fit_13b74fb3e17ef4c853da,False,42e86287cbe495d8,infeasible,voltage,,9.465563383599978,0.0,voltage,voltage,0.0,2.5152082362619477,4.9354029999813065,1458,9.018284125590658e-12,6.084359344914587e-11,,2.872051554914101e-16,0.024718236597308863,0.0,fit_13b74fb3e17ef4c853da,True,42e86287cbe495d8,3ebb7305e7395efa,
fit_1ad57dd085886ae88bd2,False,e23176beabb510c9,infeasible,voltage,,9.334234757903351,0.0,voltage,voltage,0.0,2.369008221523828,4.354390599997714,1379,3.648641100004806e-12,4.267726592486894e-10,,5.441610703704747e-16,0.03422662734841982,0.0,fit_1ad57dd085886ae88bd2,True,e23176beabb510c9,3ebb7305e7395efa,
fit_b20c46a693f6e204568e,False,51d8d1bde8f283e4,infeasible,voltage,,9.196147719739104,0.0,voltage,voltage,0.0,2.2195172415798337,4.679226700041909,1406,2.8023269726469596e-12,1.2333458183394142e-10,,9.378348791999613e-17,0.034999481421402426,0.0,fit_b20c46a693f6e204568e,True,51d8d1bde8f283e4,3ebb7305e7395efa,
fit_1d6921587ff95883a631,False,e6a4e74452abbe6f,infeasible,voltage,,9.753907559445338,0.0,voltage,voltage,0.0,2.854956267056521,5.250867300026584,1680,2.157669986268047e-11,3.248955004301365e-10,,-3.18104917407247e-16,0.02492619918016577,0.0,fit_1d6921587ff95883a631,True,e6a4e74452abbe6f,3ebb7305e7395efa,
fit_fccf806eae46bc885c7d,False,da73355291888561,infeasible,voltage,,9.56741067483664,0.0,voltage,voltage,0.0,2.6322441883451884,4.982567699975334,1532,2.5776488376262684e-12,8.505753120961569e-11,,-1.369347343849192e-16,0.02653236299326365,0.0,fit_fccf806eae46bc885c7d,True,da73355291888561,3ebb7305e7395efa,
fit_c8f10b16a47687ad414a,False,a93eb0bb7bca648f,infeasible,voltage,,9.435835954244808,0.0,voltage,voltage,0.0,2.4817241525965925,4.933381700015161,1571,2.440016470169822e-12,3.072051152050298e-10,,1.2321957690297758e-16,0.03648701494187063,0.0,fit_c8f10b16a47687ad414a,True,a93eb0bb7bca648f,3ebb7305e7395efa,
fit_c400ffd6735d4e9c1931,False,3521a351769ee11f,infeasible,voltage,,9.29771753144183,0.0,voltage,voltage,0.0,2.329093117326944,5.112302699999418,1474,1.438107684338647e-12,4.716298212459044e-11,,-9.995801929230108e-16,0.037336577790333184,0.0,fit_c400ffd6735d4e9c1931,True,3521a351769ee11f,3ebb7305e7395efa,
fit_fccf806eae46bc885c7d,True,da73355291888561,infeasible,voltage,,9.56741067483664,0.0,voltage,voltage,0.0,2.6322441883451884,4.982567699975334,1532,2.5776488376262684e-12,8.505753120961569e-11,,-1.369347343849192e-16,0.02653236299326365,0.0,fit_fccf806eae46bc885c7d,True,da73355291888561,3ebb7305e7395efa,
fit_c400ffd6735d4e9c1931,True,3521a351769ee11f,infeasible,voltage,,9.29771753144183,0.0,voltage,voltage,0.0,2.329093117326944,5.112302699999418,1474,1.438107684338647e-12,4.716298212459044e-11,,-9.995801929230108e-16,0.037336577790333184,0.0,fit_c400ffd6735d4e9c1931,True,3521a351769ee11f,3ebb7305e7395efa,
fit_bce45b5bf605aa8e2789,False,c413285042cefa35,infeasible,voltage,,9.75389187353194,0.0,voltage,voltage,0.0,2.8549528928082166,5.183874999987893,1662,2.4002708027769572e-11,3.208390791356609e-10,,4.755310728521422e-16,0.02492616371704132,0.0,fit_bce45b5bf605aa8e2789,True,c413285042cefa35,3ebb7305e7395efa,
q1_fccf806eae46bc885c7d,False,da73355291888561,infeasible,voltage,,9.56741067483664,0.0,voltage,voltage,0.0,2.6322441883451884,4.964122599980328,1532,2.5776488376262684e-12,8.505753120961569e-11,,-1.369347343849192e-16,0.02653236299326365,0.0,q1_fccf806eae46bc885c7d,True,da73355291888561,3ebb7305e7395efa,
fit_4db730a92a0f6b64e744,False,5d17eaff56e3f8ba,infeasible,voltage,,9.435831117447192,0.0,voltage,voltage,0.0,2.481718019704529,5.089683400001377,1620,9.25660447369192e-12,2.7675311468289186e-10,,-6.977383081030464e-16,0.03648748562539291,0.0,fit_4db730a92a0f6b64e744,True,5d17eaff56e3f8ba,3ebb7305e7395efa,
q1_c400ffd6735d4e9c1931,False,3521a351769ee11f,infeasible,voltage,,9.29771753144183,0.0,voltage,voltage,0.0,2.329093117326944,5.11639290000312,1474,1.438107684338647e-12,4.716298212459044e-11,,-9.995801929230108e-16,0.037336577790333184,0.0,q1_c400ffd6735d4e9c1931,True,3521a351769ee11f,3ebb7305e7395efa,
q1_1d6921587ff95883a631,False,e6a4e74452abbe6f,infeasible,voltage,,9.753907559445338,0.0,voltage,voltage,0.0,2.854956267056521,5.139574599976186,1680,2.157669986268047e-11,3.248955004301365e-10,,-3.18104917407247e-16,0.02492619918016577,0.0,q1_1d6921587ff95883a631,True,e6a4e74452abbe6f,3ebb7305e7395efa,
q1_c8f10b16a47687ad414a,False,a93eb0bb7bca648f,infeasible,voltage,,9.435835954244808,0.0,voltage,voltage,0.0,2.4817241525965925,4.9631159999989904,1571,2.440016470169822e-12,3.072051152050298e-10,,1.2321957690297758e-16,0.03648701494187063,0.0,q1_c8f10b16a47687ad414a,True,a93eb0bb7bca648f,3ebb7305e7395efa,
q1_edde2f18e48cc0e2a1c0,False,68f81fcb8bb4c23a,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602212146843997,6.662676099978853,2288,6.201092394925187e-12,2.148140797509384e-09,,0.4993251755341037,0.20044884370340713,0.0,q1_edde2f18e48cc0e2a1c0,True,68f81fcb8bb4c23a,f5c7f9d961f8bbfd,
fit_4b8cd07b2d13a3767299,False,b2076f82d2f940d9,infeasible,voltage,,9.467682055804632,0.0,voltage,voltage,0.0,2.5176584445651278,5.038322000007611,1477,7.744363426734851e-12,9.098362296284979e-11,,-9.924244585846065e-16,0.02475573586839305,0.0,fit_4b8cd07b2d13a3767299,True,b2076f82d2f940d9,6bcc534b8de6aeda,
fit_82e219e62f20d969dcf3,False,69ee69e2ec8830fd,infeasible,voltage,,9.645829597476487,0.0,voltage,voltage,0.0,2.724697776883701,5.070797299966216,1581,3.39966119329081e-12,1.6122676215787352e-09,,2.030168567979107e-16,0.02313729303056495,0.0,fit_82e219e62f20d969dcf3,True,69ee69e2ec8830fd,6bcc534b8de6aeda,
