   model  temp_C      phi_max  saturation_max phi_layer   phi_x_um     mi_kg_m2  outward_kg_m2  produced_kg_m2  bound_delta_kg_m2  ice_coverage_voltage_loss_mV
  原模型14格     -20 3.757525e-03    8.931601e-03     阴极催化层 171.050000 1.039310e-04       0.004350        0.005992           0.000805                      1.216745
 改进模型14格     -20 1.312163e-19    1.640204e-19   阳极气体扩散层  75.000000 5.631423e-21       0.001461        0.001700           0.000239                      0.000000
 改进模型48格     -20 1.773401e-04    4.215357e-04     阴极催化层 173.875000 3.178161e-07       0.004383        0.005992           0.001592                      0.015568
 改进模型96格     -20 3.479282e-04    8.270220e-04     阴极催化层 173.592500 8.338414e-07       0.004387        0.005992           0.001577                      0.040764
改进模型192格     -20 4.748468e-04    1.128706e-03     阴极催化层 173.733750 1.303766e-06       0.004388        0.005992           0.001566                      0.063566
  原模型14格     -25 1.007194e-02    2.394091e-02     阴极催化层 171.050000 5.221787e-04       0.003738        0.006159           0.000433                      3.560074
 改进模型14格     -25 3.252860e-03    7.732018e-03     阴极催化层 174.816667 9.134509e-05       0.003504        0.006159           0.001877                      0.937866
 改进模型48格     -25 4.659265e-03    8.801599e-03   阴极气体扩散层 182.950000 1.175930e-04       0.003496        0.006158           0.001767                      1.038856
 改进模型96格     -25 5.635549e-03    9.308639e-03   阴极气体扩散层 179.825000 1.280645e-04       0.003490        0.006158           0.001711                      1.104055
改进模型192格     -25 6.234751e-03    9.627515e-03   阴极气体扩散层 178.262500 1.348324e-04       0.003484        0.006158           0.001677                      1.148668
VALLEYS [(-20, 13.8, 1.2412199854079489e-19, 33.6), (-25, 13.6, 1.4527687386399086e-19, 25.8)]
