n_MEA,onset_time_s,model,temp_C,run,time_s,phi_max,phi_layer,phi_x_um,saturation_max,saturation_layer,saturation_x_um,phi_cCL_max,phi_MEA_mean,saturation_at_phi_peak,gas_pore_min,occupied_pore_max,T_max_C,T_mean_C,V,ice_coverage_voltage_loss_mV,freeze_rate_kg_m2_s,melt_rate_kg_m2_s,produced_kg_m2,outward_kg_m2,bound_delta_kg_m2,mi_kg_m2,ml_kg_m2,mv_kg_m2,mb_kg_m2,active_fraction,lambda_cCL,mass_residual,activation_V,ohmic_V,cl_ohmic_V,concentration_V,reversible_V,phi_layer0_max,phi_layer1_max,phi_layer2_max,phi_layer3_max,phi_layer4_max
14,20.6,原模型14格,-20,frozen_model_fb5ef35a0c2aef1b8d4d,36.6,0.0037575246470084264,阴极催化层,171.0499999999999,0.008931601252694144,阴极催化层,171.0499999999999,0.0037575246470084264,0.0003457865222187867,0.008931601252694144,0.3916,0.03990109750227123,-12.796580070398988,-13.013906323626145,0.5774067957761655,1.2167445155706336,1.4191258201960643e-05,0.0,0.005992057624293476,0.004350159809261827,0.0008052040360493219,0.0001039309802641674,0.0007326279826355621,1.3481608259730893e-07,0.0027104050360493214,0.9732441008348315,8.90075242862906,2.6468160131707475e-14,0.6153913681442389,0.059498155226118066,0.0,6.60531506575021e-05,1.25236237229718,3.201512346724552e-20,6.994964730153309e-20,0.0,0.0037575246470084264,0.0015253898531431486
14,,改进模型14格,-20,vopt_shape_joint_78544adeeface1795487,18.8,1.31216311598456e-19,阳极气体扩散层,75.0,1.6402038949806999e-19,阳极气体扩散层,75.0,3.8251898066502855e-20,1.873618445006571e-20,1.6402038949806999e-19,0.3916,1.6402038949806999e-19,-17.494295119657465,-17.6164830367145,0.5730346185478457,0.0,0.0,0.0,0.0016998757656722522,0.001461185984759819,0.00023861791307494594,5.63142254304955e-21,0.0,7.186783748705957e-08,0.0021438189130749455,0.22846038528042184,6.564559502278258,1.8000499112064587e-14,0.5387960662103437,0.14464826150841276,0.09042344770057326,4.280089751858993e-05,1.2565217471641208,1.31216311598456e-19,1.3884875998859899e-22,0.0,3.8251898066502855e-20,-4.2861362410000796e-23
48,34.6,改进模型48格,-20,vverify_shape_joint_grid48_540a906afc5557b25c55,36.6,0.0001773400602999036,阴极催化层,173.87500000000017,0.0004215356793437214,阴极催化层,173.87500000000017,0.0001773400602999036,1.05739893719779e-06,0.0004215356793437214,0.3916,0.014301752621724494,-12.930094096542007,-13.083464105193457,0.6348344294221429,0.015568156746526007,3.138520850583332e-07,0.0,0.005992122114642413,0.00438340012275789,0.0015921544897809989,3.178160541599165e-07,1.6121942867723574e-05,1.2774318164026575e-07,0.003497355489780999,0.7321667252623013,12.502728269968427,2.3113932211679784e-14,0.4896579343455887,0.12792297123272012,0.07951975770276791,6.493030916460229e-05,1.2524802653096163,4.61386340837554e-22,5.3200988903369405e-20,0.0,0.0001773400602999036,1.677279374914077e-23
96,33.6,改进模型96格,-20,vverify_shape_joint_grid96_f43405f9998a1709c4c0,36.6,0.0003479281728057504,阴极催化层,173.5924999999999,0.0008270220413733073,阴极催化层,173.5924999999999,0.0003479281728057504,2.7742555870779476e-06,0.0008270220413733073,0.3916,0.018539021654084647,-12.918214257508339,-13.073599470369174,0.632358832557448,0.04076388298868139,5.393053055268188e-07,0.0,0.0059921146649127765,0.004386714408707353,0.0015767088756328406,8.338413562744965e-07,2.7729123682447786e-05,1.284155338613873e-07,0.0034819098756328406,0.7331341063232669,12.613619577539497,3.650213548982031e-15,0.4895578909442205,0.13048978771041703,0.08116203776680347,6.496444332763354e-05,1.252471475655413,4.891423877462976e-21,1.3905340950350862e-19,0.0,0.0003479281728057504,1.798123389276188e-20
192,33.00000000000001,改进模型192格,-20,ice_grid192_2d446de214e3bb648118,36.6,0.00047484681268313646,阴极催化层,173.7337499999999,0.0011287064717925752,阴极催化层,173.7337499999999,0.00047484681268313646,4.337731686819956e-06,0.0011287064717925752,0.3916,0.02141042825755368,-12.91195829780537,-13.068041838494707,0.630937668006991,0.06356582910793662,7.153124697988132e-07,0.0,0.005992118509120048,0.0043882159447341425,0.0015656725929735593,1.3037659867173528e-06,3.679723622162082e-05,1.289692040071511e-07,0.0034708735929735593,0.7346273698734823,12.675288682897534,1.935504193740009e-15,0.48944506821355427,0.13201904023234579,0.08209177533659837,6.499405478619073e-05,1.2524667705076773,2.918760640451739e-19,1.2587054822708454e-20,0.0,0.00047484681268313646,1.542451438496235e-19
14,13.2,原模型14格,-25,frozen_model_fd77bb148b98edcb18c4,36.5999999999999,0.010071942508726436,阴极催化层,171.0499999999999,0.02394091397367824,阴极催化层,171.0499999999999,0.010071942508726436,0.0017373294862030996,0.02394091397367824,0.3916,0.060934597933496315,-16.967739838226862,-17.256181427694656,0.5426024715987785,3.5600742211309155,3.765636504455036e-05,0.0,0.006158511639084263,0.0037376176121821283,0.0004334771534252762,0.0005221786996911484,0.0014651256803985015,1.1249338720879324e-07,0.002338678153425276,0.9225231023574377,8.02430297434409,1.9632454761845476e-12,0.6310571456558527,0.08232225565048097,0.0,6.840838213913417e-05,1.2560502812872514,5.006770615765304e-20,2.4428452601546947e-19,0.0,0.010071942508726436,0.008776809522430214
14,26.400000000000002,改进模型14格,-25,vopt_shape_joint_92a48afbcf8e88ec27b8,36.5999999999999,0.003252860055247454,阴极催化层,174.81666666666655,0.0077320181964522314,阴极催化层,174.81666666666655,0.003252860055247454,0.0003039122918600304,0.0077320181964522314,0.3916,0.036463345029218996,-17.384302317115612,-17.595208354027733,0.6252622572345191,0.9378657718130956,1.7977347067818035e-05,0.0,0.006158506727922888,0.003504010219866671,0.0018774332067464411,9.134509409061816e-05,0.0006856087587884285,1.0944843072919154e-07,0.0037826342067464407,0.7930603111146644,13.57074827819926,8.000870848252216e-13,0.502427291940896,0.12864979873996701,0.0794956639753733,6.702065786134441e-05,1.2564063685732434,1.94709813656956e-19,-4.745779564694023e-22,0.0,0.003252860055247454,0.0014869693268115864
48,26.0,改进模型48格,-25,vverify_shape_joint_grid48_ecc9055b8c773ba144cd,36.5999999999999,0.0046592648056640595,阴极气体扩散层,182.95000000000022,0.008801598805931527,阴极催化层,173.87500000000017,0.0037028326176553935,0.0003912411039955053,0.005824081007080074,0.3916,0.04053084430632695,-17.29137758337373,-17.525012479326477,0.6121397008746661,1.038855730007393,2.0275346551550333e-05,0.0,0.006158446937833271,0.003495910351043303,0.0017667243004201565,0.00011759299118130505,0.0007781076773799866,1.11617808519479e-07,0.0036719253004201566,0.7584887022755122,13.56057621320636,5.525755907904819e-14,0.5040389257659388,0.140081317134237,0.08752417208072799,6.706796875179081e-05,1.2563270117435936,6.947866998874626e-24,-6.408626450744396e-23,0.0,0.0037028326176553935,0.0046592648056640595
96,25.8,改进模型96格,-25,vverify_shape_joint_grid96_cbd2b5829eb5b6b29f6e,36.5999999999999,0.005635549220123949,阴极气体扩散层,179.8249999999999,0.009308639409636879,阴极催化层,174.1574999999999,0.003916144599634235,0.00042608065617422125,0.0070444365251549354,0.3916,0.041821027174713185,-17.255115682365215,-17.491602671217066,0.606800533670751,1.1040547957741342,2.15552793604933e-05,0.0,0.006158449662125148,0.0034900215905595334,0.001711346462540678,0.00012806450634234866,0.0008289055799087841,1.1152277380348045e-07,0.003616547462540678,0.7536301239415542,13.562121688869196,2.5610760688519357e-14,0.5041982001995159,0.14523142564811423,0.09085647897011513,6.711753207788784e-05,1.256297277050459,3.018813224759489e-20,2.0100460943089257e-19,0.0,0.003916144599634235,0.005635549220123949
192,25.6,改进模型192格,-25,ice_grid192_9017c16ba110b5d5b083,36.5999999999999,0.006234751334476092,阴极气体扩散层,178.26249999999996,0.009627515298379706,阴极催化层,174.2987499999999,0.004050295686028342,0.00044859787457328284,0.007793439168095114,0.3916,0.042698116765051385,-17.232560698188934,-17.469823375991012,0.6034947684465566,1.1486679266679012,2.241187169428266e-05,0.0,0.00615843623306961,0.003483569035828821,0.0016769758843630158,0.00013483237157324416,0.0008629476995768632,1.1124172766589053e-07,0.003582176884363016,0.7508258907397873,13.563964408902836,1.4421747559766325e-14,0.5042848819230291,0.1484316340873632,0.09286840209058621,6.715118227715865e-05,1.256278435639226,7.132747577685696e-19,3.2242619418337826e-19,0.0,0.004050295686028342,0.006234751334476092
