初温/℃,时间/s,最大冰体积分数,最大冰体积分数/%,最大孔隙冰饱和度/%,峰值所在层,阴极催化层最大冰体积分数
-20,0.0,0.0,0.0,0.0,低于诊断阈值,0.0
-20,5.0,1.2028274802540753e-20,1.2028274802540754e-18,1.5035343503175941e-18,低于诊断阈值,5.13523337637915e-21
-20,10.0,3.954468491019778e-20,3.954468491019778e-18,1.0098234144585745e-17,低于诊断阈值,6.408167234060139e-21
-20,15.0,1.260993163335088e-19,1.2609931633350881e-17,3.220105115768866e-17,低于诊断阈值,6.355515350141271e-21
-20,20.0,1.3581071940995194e-19,1.3581071940995194e-17,3.468098044176505e-17,低于诊断阈值,6.156586933863891e-21
-20,25.0,1.3273281003260955e-19,1.3273281003260955e-17,3.389499745470111e-17,低于诊断阈值,6.317069363771225e-21
-20,30.0,1.3960465885251424e-19,1.3960465885251424e-17,3.564981073864e-17,低于诊断阈值,5.6118747561559365e-21
-20,35.0,0.00012130960195357604,0.012130960195357605,0.02883517992716331,阴极催化层,0.00012130960195357604
-25,0.0,0.0,0.0,0.0,低于诊断阈值,0.0
-25,5.0,3.0833659388577417e-21,3.083365938857742e-19,7.329132253049065e-19,低于诊断阈值,3.0833659388577417e-21
-25,10.0,5.3310569116330006e-20,5.331056911633e-18,1.3613526332055671e-17,低于诊断阈值,3.1780867234015924e-21
-25,15.0,1.4527499285854351e-19,1.452749928585435e-17,3.7097802057850744e-17,低于诊断阈值,4.9224269246368295e-21
-25,20.0,1.924085714724554e-19,1.924085714724554e-17,4.913395594291506e-17,低于诊断阈值,5.133669001533663e-21
-25,25.0,1.8989079002305788e-19,1.8989079002305788e-17,4.849100868821703e-17,低于诊断阈值,1.8707426465322211e-19
-25,30.0,0.0013499848303265675,0.13499848303265674,0.32089014269706856,阴极催化层,0.0013499848303265675
-25,35.0,0.004514642134511579,0.4514642134511579,0.7847320192700855,阴极气体扩散层,0.00330136760506925
