x_m,dx_m,layer,cell,dry_C_J_m3K,k_table
0.00125,0.0025,endplate,-1,3950000.0,15.0
0.00375,0.0025,endplate,-1,3950000.0,15.0
0.0062499999999999995,0.0025,endplate,-1,3950000.0,15.0
0.00875,0.0025,endplate,-1,3950000.0,15.0
0.010499999999999999,0.001,BP,0,1516680.0,95.0
0.0115,0.001,BP,0,1516680.0,95.0
0.012025,4.9999999999999996e-05,aGDL,0,100825.0,0.3
0.012074999999999999,4.9999999999999996e-05,aGDL,0,100825.0,0.3
0.012124999999999999,4.9999999999999996e-05,aGDL,0,100825.0,0.3
0.01215085,1.7e-06,aCL,0,232800.0,0.27
0.01215255,1.7e-06,aCL,0,232800.0,0.27
0.0121554,4e-06,PEM,0,2257500.0,0.24
0.0121594,4e-06,PEM,0,2257500.0,0.24
0.012163400000000001,4e-06,PEM,0,2257500.0,0.24
0.012167283333333336,3.766666666666667e-06,cCL,0,232800.0,0.27
0.012171050000000003,3.766666666666667e-06,cCL,0,232800.0,0.27
0.01217481666666667,3.766666666666667e-06,cCL,0,232800.0,0.27
0.012201700000000001,4.9999999999999996e-05,cGDL,0,100825.0,0.3
0.0122517,4.9999999999999996e-05,cGDL,0,100825.0,0.3
0.0123017,4.9999999999999996e-05,cGDL,0,100825.0,0.3
0.0128267,0.001,BP,0,1516680.0,95.0
0.0138267,0.001,BP,0,1516680.0,95.0
0.014826700000000002,0.001,BP,1,1516680.0,95.0
0.015826700000000003,0.001,BP,1,1516680.0,95.0
0.016351700000000004,4.9999999999999996e-05,aGDL,1,100825.0,0.3
0.016401700000000005,4.9999999999999996e-05,aGDL,1,100825.0,0.3
0.016451700000000007,4.9999999999999996e-05,aGDL,1,100825.0,0.3
0.016477550000000007,1.7e-06,aCL,1,232800.0,0.27
0.016479250000000008,1.7e-06,aCL,1,232800.0,0.27
0.01648210000000001,4e-06,PEM,1,2257500.0,0.24
0.01648610000000001,4e-06,PEM,1,2257500.0,0.24
0.01649010000000001,4e-06,PEM,1,2257500.0,0.24
0.01649398333333334,3.766666666666667e-06,cCL,1,232800.0,0.27
0.016497750000000005,3.766666666666667e-06,cCL,1,232800.0,0.27
0.01650151666666667,3.766666666666667e-06,cCL,1,232800.0,0.27
0.016528400000000006,4.9999999999999996e-05,cGDL,1,100825.0,0.3
0.016578400000000007,4.9999999999999996e-05,cGDL,1,100825.0,0.3
0.01662840000000001,4.9999999999999996e-05,cGDL,1,100825.0,0.3
0.01715340000000001,0.001,BP,1,1516680.0,95.0
0.01815340000000001,0.001,BP,1,1516680.0,95.0
0.01915340000000001,0.001,BP,2,1516680.0,95.0
0.020153400000000012,0.001,BP,2,1516680.0,95.0
0.020678400000000013,4.9999999999999996e-05,aGDL,2,100825.0,0.3
0.020728400000000015,4.9999999999999996e-05,aGDL,2,100825.0,0.3
0.020778400000000016,4.9999999999999996e-05,aGDL,2,100825.0,0.3
0.020804250000000017,1.7e-06,aCL,2,232800.0,0.27
0.020805950000000017,1.7e-06,aCL,2,232800.0,0.27
0.02080880000000002,4e-06,PEM,2,2257500.0,0.24
0.02081280000000002,4e-06,PEM,2,2257500.0,0.24
0.02081680000000002,4e-06,PEM,2,2257500.0,0.24
0.02082068333333335,3.766666666666667e-06,cCL,2,232800.0,0.27
0.020824450000000015,3.766666666666667e-06,cCL,2,232800.0,0.27
