T0_C,basis,t_s,j0,V,observed_V
-20,A,0.0,0.01,0.5377091125116519,0.799
-20,A,0.0,1.0,0.738634340495496,0.799
-20,A,0.0,1e+20,1.2398791538496245,0.799
-20,A,36.6,0.01,-0.3575881805520069,0.673
-20,A,36.6,1.0,-0.15046469267558713,0.673
-20,A,36.6,1e+20,0.49584179604709966,0.673
-20,B,0.0,0.01,0.6681644705700416,0.799
-20,B,0.0,1.0,0.86908969774397,0.799
-20,B,0.0,1e+20,1.2573202258450782,0.799
-20,B,36.6,0.01,0.45046042855648794,0.673
-20,B,36.6,1.0,0.6575839164306504,0.673
-20,B,36.6,1e+20,1.1907460375683403,0.673
-25,A,0.0,0.01,0.5266499992803917,0.799
-25,A,0.0,1.0,0.7236067496705182,0.799
-25,A,0.0,1e+20,1.2423819202745507,0.799
-25,A,36.5999999999999,0.01,-0.4336681111355547,0.641
-25,A,36.5999999999999,1.0,-0.2304523243664324,0.641
-25,A,36.5999999999999,1e+20,0.42986266798820205,0.641
-25,B,0.0,0.01,0.6524084434815547,0.799
-25,B,0.0,1.0,0.8493651936900036,0.799
-25,B,0.0,1e+20,1.2614387869545782,0.799
-25,B,36.5999999999999,0.01,0.4345722965670259,0.641
-25,B,36.5999999999999,1.0,0.6377880833355005,0.641
-25,B,36.5999999999999,1e+20,1.1880106570131743,0.641
