case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,candidate_id,numerically_accepted,config_requested,code_hash,evaluation,best_so_far,protocol_json
83ac3a1b51abebe8,infeasible,voltage,,42.41860938238063,0.0,voltage,voltage,0.0,0.21209304691190328,1.8139333000290208,417,2.067872700820232e-14,2.404815009989041e-16,,0.2999999990000021,5.524551835013346e-20,0.1844186173345861,q2_constant_f9d758a2d5585dca13da,True,83ac3a1b51abebe8,904567fd11d251fb,1,inf,"{""kind"": ""constant"", ""params"": [0.005], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,voltage,,50.984688357394425,0.0,voltage,voltage,0.0,0.5743844637731782,2.0064373000059277,444,9.426891236943253e-14,1.758002696957506e-16,,0.2999999989999974,1.8123145383871166e-21,0.11459936617654876,q2_constant_3ef97be7ea1c2248c54b,True,83ac3a1b51abebe8,904567fd11d251fb,2,inf,"{""kind"": ""constant"", ""params"": [0.011265822784810127], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,voltage,,67.33341545411673,0.0,voltage,voltage,0.0,1.1804655747335648,2.0403230999945663,502,3.348146710774481e-14,4.809630019978082e-16,,0.2999999989999956,4.6967899813050674e-20,0.21550743138612916,q2_constant_542708e50b65941c65dd,True,83ac3a1b51abebe8,904567fd11d251fb,3,inf,"{""kind"": ""constant"", ""params"": [0.017531645569620252], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,voltage,,146.09389529335849,0.0,voltage,voltage,0.0,3.4766648500191413,3.2228881999617442,821,2.0698700336738714e-15,2.4877396655059044e-16,,0.29999999900000024,1.584988862262932e-20,0.7335018339026647,q2_constant_46d7279a517adbe259af,True,83ac3a1b51abebe8,904567fd11d251fb,4,inf,"{""kind"": ""constant"", ""params"": [0.02379746835443038], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,unresolved,horizon,,300.0,0.0,horizon,unresolved,0.0,9.018987341772178,5.471358000009786,1429,3.8324622817857945e-15,5.307177953079263e-16,,0.6396899613112621,5.3332759191947624e-21,0.818002033555274,q2_constant_78419691ca0661c64180,True,83ac3a1b51abebe8,904567fd11d251fb,5,inf,"{""kind"": ""constant"", ""params"": [0.030063291139240507], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,unresolved,horizon,,300.0,0.0,horizon,unresolved,0.0,10.898734177215253,5.454846600012388,1430,5.887584291066756e-15,3.184306771847558e-16,,0.6769890525936946,9.421387986320646e-20,0.9392445505665705,q2_constant_d8821ca15b4846362f49,True,83ac3a1b51abebe8,904567fd11d251fb,6,inf,"{""kind"": ""constant"", ""params"": [0.03632911392405063], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,unresolved,horizon,,300.0,0.0,horizon,unresolved,0.0,12.778481012658078,5.37473709997721,1420,8.198678476191504e-14,6.368613543695116e-16,,0.6837203950313399,5.208580095332689e-21,1.0911052667007652,q2_constant_fca9e861d19a2d9d02ad,True,83ac3a1b51abebe8,904567fd11d251fb,7,inf,"{""kind"": ""constant"", ""params"": [0.042594936708860755], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,unresolved,horizon,,300.0,0.0,horizon,unresolved,0.0,14.658227848101287,5.3004664000472985,1411,7.185806225181963e-14,2.6535889765396315e-16,,0.6841675808112843,4.803949497766926e-20,1.2518547801682303,q2_constant_1f6dce5260c7ecf8692e,True,83ac3a1b51abebe8,904567fd11d251fb,8,inf,"{""kind"": ""constant"", ""params"": [0.048860759493670886], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,unresolved,horizon,,300.0,0.0,horizon,unresolved,0.0,16.537974683544565,5.357674400031101,1422,4.4478268755365984e-14,3.715024567155484e-16,,0.6824794257272178,2.95131585871861e-20,1.417282541445104,q2_constant_be950ca3aca7b695da2e,True,83ac3a1b51abebe8,904567fd11d251fb,9,inf,"{""kind"": ""constant"", ""params"": [0.05512658227848101], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,unresolved,horizon,,300.0,0.0,horizon,unresolved,0.0,18.41772151898745,5.3717686999589205,1422,5.73967735640485e-14,6.899331339003042e-16,,0.6799117736663286,1.7156636200983521e-19,1.5859422770303127,q2_constant_cca4975c6f65117703f9,True,83ac3a1b51abebe8,904567fd11d251fb,10,inf,"{""kind"": ""constant"", ""params"": [0.06139240506329113], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,295.60336763330145,0.0,charge,charge,0.0,20.0,5.310975999978837,1403,4.9000022017855105e-14,7.430049134310968e-16,,0.6770637809414128,2.008409051131394e-20,1.7555824332352472,q2_constant_5074bf288854b8292a10,True,83ac3a1b51abebe8,904567fd11d251fb,11,inf,"{""kind"": ""constant"", ""params"": [0.06765822784810127], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,270.54794520548046,0.0,charge,charge,0.0,19.999999999999996,4.91421660000924,1305,3.609637324217135e-14,5.307177953079263e-16,,0.6744822849562959,6.767677207006922e-20,1.9189943908267537,q2_constant_2048328738a5e0806fce,True,83ac3a1b51abebe8,904567fd11d251fb,12,inf,"{""kind"": ""constant"", ""params"": [0.0739240506329114], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,249.40805051302078,0.0,charge,charge,0.0,20.0,4.642642799997702,1221,5.532162276631222e-14,3.184306771847558e-16,,0.6711254927573014,2.1501230146079073e-20,2.084272104997467,q2_constant_1f0be0776ec3f6d96f9f,True,83ac3a1b51abebe8,904567fd11d251fb,13,inf,"{""kind"": ""constant"", ""params"": [0.08018987341772152], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,231.3323572474369,0.0,charge,charge,0.0,20.0,4.384889499982819,1149,1.2575345987418525e-13,2.6535889765396315e-16,,0.6669305833881477,8.813259953215459e-20,2.2509700894914317,q2_constant_845b79481ec298f338e4,True,83ac3a1b51abebe8,904567fd11d251fb,14,inf,"{""kind"": ""constant"", ""params"": [0.08645569620253164], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,215.69965870307195,0.0,charge,charge,0.0,20.0,4.158919900015462,1091,8.808272040866018e-14,4.776460157771337e-16,,0.6627679178154119,7.418044392674281e-19,2.4187076951229187,q2_constant_4b476042bb814fc0acae,True,83ac3a1b51abebe8,904567fd11d251fb,15,inf,"{""kind"": ""constant"", ""params"": [0.09272151898734178], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,202.04603580562772,0.0,charge,charge,0.0,20.0,3.9432537999819033,1035,8.352231236409226e-14,5.837895748387189e-16,,0.6586615153236993,5.177020853940014e-20,2.5871402300671775,q2_constant_68c0d2c8c68b114e3a3b,True,83ac3a1b51abebe8,904567fd11d251fb,16,inf,"{""kind"": ""constant"", ""params"": [0.0989873417721519], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,190.01803968731136,0.0,charge,charge,0.0,20.0,3.755094099964481,988,3.331236251319081e-14,6.368613543695116e-16,,0.6546355669843744,8.725483847961435e-19,2.7559458998414925,q2_constant_fbce8ef99170a0327d6e,True,83ac3a1b51abebe8,904567fd11d251fb,17,inf,"{""kind"": ""constant"", ""params"": [0.10525316455696203], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,179.341657207718,0.0,charge,charge,0.0,20.0,3.600484900001902,944,1.7311441284990448e-14,4.2457423624634106e-16,,0.6507148062380224,1.245945996198328e-19,2.924819700726175,q2_constant_ffa669c786746c3aad24,True,83ac3a1b51abebe8,904567fd11d251fb,18,inf,"{""kind"": ""constant"", ""params"": [0.11151898734177215], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
83ac3a1b51abebe8,infeasible,charge,,169.80118216012914,0.0,charge,charge,0.0,20.0,3.4590494000003673,908,6.932050255231643e-14,6.899331339003042e-16,,0.6469232122702265,1.772773540337421e-20,3.093470097295153,q2_constant_4049256fac93ea18e005,True,83ac3a1b51abebe8,904567fd11d251fb,19,inf,"{""kind"": ""constant"", ""params"": [0.11778481012658228], ""powers"": [0.0, 0.0, 0.0, 0.0, 0.0], ""heat_off"": 0.0, ""load_start"": 0.0, ""times"": null, ""currents"": null}"
