strategy,T0_C,mode,case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,E_aux_to_success_J,candidate_id,numerically_accepted,config_requested,code_hash,status,candidate
constant,0.0,unoptimized_reference,1042bd66825fd6c9,feasible,success,0.0002580290659391797,0.0002580290659391797,0.0,success,passed,0.0,5.160581318783595e-05,0.5032344000064768,114.0,8.73527435366282e-17,1.1277199414802642e-16,,0.6506571542939475,9.145870953211226e-29,5.684341886080802e-14,0.0,q2_reopt_895c24d82b614b39a39f,True,1042bd66825fd6c9,904567fd11d251fb,,
constant,0.0,reoptimized,,,,0.00015087068445058217,,,,,,,,,,,,,,,,,,,,feasible,q2_reopt_a59594552500ba61dba6
constant,-2.0,unoptimized_reference,411464f72e45ef2c,feasible,success,22.99908674022357,22.99908674022357,0.0,success,passed,0.0,4.599817348044715,1.691074199974537,401.0,2.871165848267539e-15,3.316986220674539e-16,,0.6161123324966238,5.7611942830161775e-21,2.1401738826169208,0.0,q2_reopt_ec32d3fe256e1436920b,True,411464f72e45ef2c,904567fd11d251fb,,
constant,-2.0,reoptimized,,,,10.551872236593326,,,,,,,,,,,,,,,,,,,,feasible,q2_reopt_5ea882b182dba0e72310
constant,-4.0,unoptimized_reference,2529f47ddd5b2231,feasible,success,52.76093791112872,52.76093791112872,0.0,success,passed,0.0,10.552187582225724,1.9062341999961063,494.0,2.3017789498561553e-14,2.6535889765396315e-16,,0.611000148225765,2.6469130581554073e-19,4.0072768187014844,0.0,q2_reopt_176b09c6f36653a24cd1,True,2529f47ddd5b2231,904567fd11d251fb,,
constant,-4.0,reoptimized,,,,43.953658170158704,,,,,,,,,,,,,,,,,,,,feasible,q2_reopt_a631eb5af9d19447eb62
constant,-6.0,unoptimized_reference,fb0900ea9f4ece31,feasible,success,85.2827686450917,85.2827686450917,0.0,success,passed,0.0,17.05655372901832,2.4783754000090994,605.0,2.1443678453409627e-14,6.191707611925808e-16,,0.6095875356784752,1.3048545970498255e-19,4.940793892059844,0.0,q2_reopt_efe74fffa6640fc593fc,True,fb0900ea9f4ece31,904567fd11d251fb,,
constant,-6.0,reoptimized,,,,54.5326794844748,,,,,,,,,,,,,,,,,,,,feasible,q2_reopt_7f7a30d9c5c0c5cecd10
constant,-8.0,unoptimized_reference,caf34cd6d2956248,infeasible,charge,,99.99999999999991,0.0,charge,charge,0.0,20.0,2.8605668999953195,680.0,9.742973204907708e-15,3.980383464809447e-16,,0.6090561366603269,1.0058798798117239e-18,5.169627488683091,,q2_reopt_edfbfbab95bf786c00d2,True,caf34cd6d2956248,904567fd11d251fb,,
constant,-8.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-10.0,unoptimized_reference,8bc04c86776b2102,infeasible,charge,,99.9999999999999,0.0,charge,charge,0.0,20.0,2.8451955000055023,679.0,1.6518283586409102e-14,6.368613543695116e-16,,0.6090087458442323,2.035182942851458e-18,5.173431243871164,,q2_reopt_6342ed236d46c0c70cec,True,8bc04c86776b2102,904567fd11d251fb,,
constant,-10.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-12.0,unoptimized_reference,8029c95096da2410,infeasible,charge,,99.99999999999991,0.0,charge,charge,0.0,20.0,2.7906312000122853,669.0,1.0062131222792146e-13,2.21132414711636e-16,,0.610087687397472,4.817935399321216e-19,5.166321723735052,,q2_reopt_2b6efd4628ebcc8bbfb3,True,8029c95096da2410,904567fd11d251fb,,
constant,-12.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-14.0,unoptimized_reference,9db50ffaca521686,infeasible,charge,,99.99999999999993,0.0,charge,charge,0.0,20.000000000000004,2.9474603999988176,671.0,4.463988475151544e-14,3.790841395056617e-16,,0.6079142981433707,1.843886280166426e-20,5.137722644022176,,q2_reopt_84972636c472769b35da,True,9db50ffaca521686,904567fd11d251fb,,
constant,-14.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-16.0,unoptimized_reference,e2ac10ad425f8bf8,infeasible,charge,,99.99999999999993,0.0,charge,charge,0.0,20.000000000000004,2.99198539997451,680.0,4.168717382509271e-14,3.316986220674539e-16,,0.6023440486971806,2.270088360242338e-20,5.082380334824961,,q2_reopt_e8ba90540d8ad91be500,True,e2ac10ad425f8bf8,904567fd11d251fb,,
constant,-16.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-18.0,unoptimized_reference,f52c2ff69858666f,infeasible,charge,,99.99999999999572,0.0,charge,charge,0.0,20.000000000000004,17.772498000005726,2601.0,3.292365763227902e-12,8.25561014923441e-16,,0.5965564465021078,0.01349678200095294,4.9936192285970264,,q2_reopt_8a4a44fe617ffceabfa6,True,f52c2ff69858666f,904567fd11d251fb,,
constant,-18.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-20.0,unoptimized_reference,d83ff0ea2775aa36,infeasible,charge,,100.00000000000004,0.0,charge,charge,0.0,20.0,36.96616269997321,4900.0,1.3951999398460158e-12,6.368613543695116e-16,,0.5905559629483667,0.026213984138546427,4.870255830188341,,q2_reopt_05de29034bd7c36648a7,True,d83ff0ea2775aa36,904567fd11d251fb,,
constant,-20.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-22.0,unoptimized_reference,4d1414f0f83d6d57,infeasible,charge,,99.9999999999999,0.0,charge,charge,0.0,20.0,27.860987499996554,3857.0,1.2599092138386942e-13,5.548413314582866e-16,,0.5843534339748949,0.03408777665666492,4.777041318754584,,q2_reopt_954f7e15848d7f9d2e51,True,4d1414f0f83d6d57,904567fd11d251fb,,
constant,-22.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-24.0,unoptimized_reference,0d34c8bd43021fb6,infeasible,charge,,100.00000000000001,0.0,charge,charge,0.0,20.000000000000004,36.61470229999395,3210.0,9.084927725360514e-13,3.31698622067454e-16,,0.5776738722990209,0.04354991755190202,4.720782990596945,,q2_reopt_8a472f9378059f0a2cc0,True,0d34c8bd43021fb6,904567fd11d251fb,,
constant,-24.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-26.0,unoptimized_reference,8f86371a3cb1bd52,infeasible,charge,,99.99999999999989,0.0,charge,charge,0.0,20.0,19.638619699981064,2124.0,6.096898602352333e-13,2.8577112055042183e-16,,0.5694203677003895,0.055188978321884415,4.717737598174665,,q2_reopt_ed830f8d7c3c519454f8,True,8f86371a3cb1bd52,904567fd11d251fb,,
constant,-26.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-28.0,unoptimized_reference,6607fd51b369c871,infeasible,charge,,99.99999999999994,0.0,charge,charge,0.0,20.0,20.538737800030503,2166.0,1.0239779959906359e-12,5.307177953079263e-16,,0.5585918025101948,0.06759718816968555,4.6616461954365604,,q2_reopt_2b82f08215f6cefd4a3e,True,6607fd51b369c871,904567fd11d251fb,,
constant,-28.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-30.0,unoptimized_reference,3f5f3a94f9875055,infeasible,charge,,99.9999999999999,0.0,charge,charge,0.0,20.0,17.77887690003263,1955.0,9.064583211775992e-12,1.7690593176930878e-16,,0.5458691494774398,0.0786027419011641,4.570614173955761,,q2_reopt_80625e54b9a0d6c2f859,True,3f5f3a94f9875055,904567fd11d251fb,,
constant,-30.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-32.0,unoptimized_reference,063e547f381606ac,infeasible,charge,,99.99999999999996,0.0,charge,charge,0.0,20.0,18.134434400009923,1924.0,2.3546019593058372e-12,2.3218903544721773e-16,,0.5314557086550125,0.08806257611285827,4.529871154091154,,q2_reopt_799bd7ebad1cced32769,True,063e547f381606ac,904567fd11d251fb,,
constant,-32.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-34.0,unoptimized_reference,5216ebcafac43dfe,infeasible,charge,,99.99999999999991,0.0,charge,charge,0.0,20.000000000000004,14.04951019998407,1419.0,6.100744366773812e-11,5.073037749266943e-16,,0.5150155210266895,0.09667882302061569,4.633578448146949,,q2_reopt_52a3de4302821ce8f789,True,5216ebcafac43dfe,904567fd11d251fb,,
constant,-34.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-36.0,unoptimized_reference,f1159b421da75b03,infeasible,charge,,99.99999999999993,0.0,charge,charge,0.0,20.0,14.135914299986325,1377.0,3.8096442279725494e-11,6.523406233993261e-16,,0.4960297165746628,0.10473533899444552,4.725308958834603,,q2_reopt_81d240c4909567c52467,True,f1159b421da75b03,904567fd11d251fb,,
constant,-36.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-38.0,unoptimized_reference,73aa6a30497cc637,infeasible,charge,,99.9999999999999,0.0,charge,charge,0.0,20.0,9.861679400026333,1136.0,5.939280598448546e-11,3.6312270205279167e-16,,0.47377151490242925,0.11231432898321989,4.8165222213530114,,q2_reopt_546793d728955df80420,True,73aa6a30497cc637,904567fd11d251fb,,
constant,-38.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
constant,-40.0,unoptimized_reference,895d47c4b707e28f,infeasible,charge,,99.99999999999994,0.0,charge,charge,0.0,20.000000000000004,9.53968020004686,1069.0,9.524832694040227e-11,2.3882300788856685e-16,,0.44720972393890457,0.11945897952018601,4.913963055262627,,q2_reopt_34d00a243c6a5bd132a0,True,895d47c4b707e28f,904567fd11d251fb,,
constant,-40.0,reoptimized,,,,,,,,,,,,,,,,,,,,,,,,not_found,
ramp,0.0,unoptimized_reference,1042bd66825fd6c9,feasible,success,8.074288637462233,8.074288637462233,0.0,success,passed,0.0,0.3136054257516987,2.5781158999889158,424.0,8.563395319725038e-16,7.526970287222432e-16,,0.7257829088209665,2.405490619480972e-22,0.02978845372098249,0.0,q2_reopt_f425564a697e25affa21,True,1042bd66825fd6c9,904567fd11d251fb,,
ramp,0.0,reoptimized,,,,3.8763848698213454,,,,,,,,,,,,,,,,,,,,feasible,q2_reopt_70250fe608fcf2996843
ramp,-2.0,unoptimized_reference,411464f72e45ef2c,feasible,success,40.7885733084896,40.7885733084896,0.0,success,passed,0.0,4.697756128767862,2.753228700021282,426.0,2.2951452878495636e-14,1.3267944882698158e-16,,0.5993935122526144,1.2472973602780965e-20,2.050164705146983,0.0,q2_reopt_2c23646365bb7d74ca72,True,411464f72e45ef2c,904567fd11d251fb,,
ramp,-2.0,reoptimized,,,,29.40751036223123,,,,,,,,,,,,,,,,,,,,feasible,q2_reopt_8ff6e6f84bc324335557
ramp,-4.0,unoptimized_reference,2529f47ddd5b2231,feasible,success,59.314182906105344,59.314182906105344,0.0,success,passed,0.0,9.395352343699585,3.0893456999910995,477.0,1.2618747945721415e-14,2.6535889765396315e-16,,0.5648873090530193,8.706442440709398e-20,4.05957864864547,0.0,q2_reopt_55b49ab8a3255951ddcb,True,2529f47ddd5b2231,904567fd11d251fb,,
ramp,-4.0,reoptimized,,,,51.60372391927723,,,,,,,,,,,,,,,,,,,,feasible,q2_reopt_93e1eca74d426252310b
ramp,-6.0,unoptimized_reference,fb0900ea9f4ece31,feasible,success,77.8065919370358,77.8065919370358,0.0,success,passed,0.0,14.941977583634289,4.335262500040699,600.0,6.282863990952511e-15,3.925100361131539e-16,,0.5663078314228687,3.3905813272429175e-20,5.960128655721803,0.0,q2_reopt_2c601cf1f8a6af773f30,True,fb0900ea9f4ece31,904567fd11d251fb,,
ramp,-6.0,reoptimized,,,,58.82199775737989,,,,,,,,,,,,,,,,,,,,feasible,q2_reopt_8ebedcfbbca702e427ae
