t_s,observed_K_s,model_K_s
0.0,0.006125132613737452,-0.03601639598073295
0.2,0.006360301992562006,-0.029889805995137308
0.4,0.006521939600913761,-0.025800560896571255
0.6,0.006610750294623289,-0.022997791903562406
0.8,0.006671450073797685,-0.02133345119400797
1.0,0.00673122096703015,-0.019775112742914658
1.2,0.00703993145501897,-0.01264129723978178
1.4,0.007026178753707871,-0.012992507046838
1.6,0.006999797705077796,-0.012751209589384775
1.8,0.006987197220799605,-0.012788352299945113
2.0,0.006979988519024906,-0.012901771314250157
2.2,0.006999621081267379,-0.013096271906895898
2.4,0.007007281561922147,-0.012927579163334615
2.6,0.007019110098822813,-0.012628096894012392
2.8,0.007020493418849823,-0.01194496764619619
3.0,0.007007965052067435,-0.011793491753551356
3.2,0.006983384688100971,-0.011377280580685645
3.4,0.006941546886077741,-0.011168950547174093
3.6,0.006894603035647387,-0.010719957480294477
3.8,0.006833886935790092,-0.010565963112315108
4.0,0.006759437701054211,-0.010173682989478298
4.2,0.006709465287554037,-0.009778722323121805
4.4,0.006671197047781037,-0.009316944082736246
4.6,0.006668896020887153,-0.009171826502174097
4.8,0.006636597903699547,-0.009293139024331156
5.0,0.006619987270333802,-0.009178473641684452
5.2,0.006629375473728287,-0.0096084217665164
5.4,0.006792459275482613,-0.008536012077616905
5.6,0.007360189538366498,-0.005626472774863875
5.8,0.008550019636196607,-0.0006463837915186717
6.0,0.010616101162333118,0.005669377320930931
6.2,0.013771267020541636,0.014282900505690227
6.4,0.01797412778783344,0.024407968342407698
6.6,0.02310699458503151,0.034141483383559094
6.8,0.02907932594886521,0.044276113192883416
7.0,0.03574928321201574,0.053445957250649316
7.2,0.04294423082998574,0.06192116732738726
7.4,0.05041927269414923,0.06856907156155825
7.6,0.05802068492753939,0.07481597603729222
7.8,0.06584478890915434,0.0821307586050889
8.0,0.0738972738172361,0.08910831514091877
8.2,0.08217388370303887,0.09598282790857753
8.4,0.09070187431103639,0.10431460376442461
8.6,0.09930915690406261,0.11220454311681312
8.8,0.1122486591354347,0.1229260463896909
9.0,0.11633878297754469,0.12579957560391783
9.2,0.12472032786977459,0.1317944562072945
9.4,0.13299549870605973,0.1386640288513156
9.6,0.1411626254450547,0.14518946578095476
9.8,0.14927624744106782,0.1531032857961684
10.0,0.15744999425372763,0.16229888645371962
10.2,0.1656390174665234,0.1704781457857828
10.4,0.17385381277596879,0.180092154919858
10.6,0.1820902781572252,0.18899938784314999
