t_s,observed_K_s,model_K_s
0.0,0.006125132613737452,-0.04117955962411506
0.2,0.006360301992562006,-0.03422843508588466
0.4,0.006521939600913761,-0.02959124692555199
0.6,0.006610750294623289,-0.026399694864433575
0.8,0.006671450073797685,-0.024459077147566545
1.0,0.00673122096703015,-0.022686736701286684
1.2,0.00703993145501897,-0.014476870068572375
1.4,0.007026178753707871,-0.014831606859855694
1.6,0.006999797705077796,-0.014563369903370444
1.8,0.006987197220799605,-0.014580036559375117
2.0,0.006979988519024906,-0.01465640600093142
2.2,0.006999621081267379,-0.014792978401910418
2.4,0.007007281561922147,-0.014605675297092445
2.6,0.007019110098822813,-0.014273256094317267
2.8,0.007020493418849823,-0.013538165590387868
3.0,0.007007965052067435,-0.013356057152221464
3.2,0.006983384688100971,-0.01291108308184877
3.4,0.006941546886077741,-0.01267302864006024
3.6,0.006894603035647387,-0.012186588018385375
3.8,0.006833886935790092,-0.011997613904363259
4.0,0.006759437701054211,-0.011578329842045163
4.2,0.006709465287554037,-0.011155559444646232
4.4,0.006671197047781037,-0.010653143129461596
4.6,0.006668896020887153,-0.010511213447441436
4.8,0.006636597903699547,-0.010600279382238561
5.0,0.006619987270333802,-0.010444364334294614
5.2,0.006629375473728287,-0.010854551784425162
5.4,0.006792459275482613,-0.009763657118701299
5.6,0.007360189538366498,-0.006835705766724016
5.8,0.008550019636196607,-0.0018334671642823836
6.0,0.010616101162333118,0.004499876931130168
6.2,0.013771267020541636,0.013142205335182119
6.4,0.01797412778783344,0.023314723515085557
6.6,0.02310699458503151,0.033081099739973106
6.8,0.02907932594886521,0.04323940272876344
7.0,0.03574928321201574,0.052436661397569605
7.2,0.04294423082998574,0.06094986722987809
7.4,0.05041927269414923,0.06760067186637869
7.6,0.05802068492753939,0.07384385420836559
7.8,0.06584478890915434,0.08107661053361409
8.0,0.0738972738172361,0.08792900592591059
8.2,0.08217388370303887,0.09462082813988795
8.4,0.09070187431103639,0.10280664290315367
8.6,0.09930915690406261,0.11054151087572027
8.8,0.1122486591354347,0.12094596922926436
9.0,0.11633878297754469,0.12374186995374584
9.2,0.12472032786977459,0.1295470408667026
9.4,0.13299549870605973,0.13626642508020242
9.6,0.1411626254450547,0.14263746603416202
9.8,0.14927624744106782,0.15045468762743217
10.0,0.15744999425372763,0.1595246843850908
