T_C,j_A_cm2,error_V,valid
-39.5,5e-10,2.4349433827008937e-06,True
-39.5,1.084300648087722e-09,5.956127858697258e-06,True
-39.5,1.2671151427991833e-09,6.940252483156328e-06,True
-39.5,1.4807523982786558e-09,8.078447766290964e-06,True
-39.5,1.7304091719433345e-09,9.389760738942599e-06,True
-39.5,2.022158401246853e-09,1.089247595364995e-05,True
-39.5,2.363096928769132e-09,1.2601796692601752e-05,True
-39.5,2.7615181339478187e-09,1.452602924700841e-05,True
-39.5,3.2271136707434075e-09,1.666057408722388e-05,True
-39.5,3.771209218536234e-09,1.897886399393478e-05,True
-39.5,4.4070399809302176e-09,2.1419364835351118e-05,True
-39.5,5.150072634012047e-09,2.3868120894832145e-05,True
-39.5,6.018381555504162e-09,2.6137519697710943e-05,True
-39.5,7.033088486640534e-09,2.794456060417616e-05,True
-39.5,8.218876321604705e-09,2.8896368156727803e-05,True
-39.5,9.604589522532925e-09,2.8496404840927525e-05,True
-39.5,1.1223935765265053e-08,2.6188775009705623e-05,True
-39.5,1.3116305883478639e-08,2.1453856214437295e-05,True
-39.5,1.5327732056466708e-08,1.3949347344999197e-05,True
-39.5,1.7912007548616885e-08,3.6578972315570724e-06,True
-39.5,2.093199523841801e-08,9.02552265702461e-06,True
-39.5,2.446115676715346e-08,2.332637045365793e-05,True
-39.5,2.8585339504046212e-08,3.824967002308277e-05,True
-39.5,3.340486479604349e-08,5.280312754218919e-05,True
-39.5,3.903696829922185e-08,6.61912347617033e-05,True
-39.5,4.561865175323028e-08,7.791580799820785e-05,True
-39.5,5.331001556860105e-08,8.777584672148286e-05,True
-39.5,6.229815329260023e-08,9.580188600954997e-05,True
-39.5,7.280170268706899e-08,0.00010216921229821985,True
-39.5,8.507616412388804e-08,0.00010712089212083775,True
-39.5,9.942011566881027e-08,0.00011091336203095103,True
-39.5,1.1618247603648405e-07,0.00011378464811584443,True
-39.5,1.357709920891076e-07,0.00011593974088497383,True
-39.5,1.5866215733835693e-07,0.00011754685660481101,True
-39.5,1.854128027195958e-07,0.00011873959022801195,True
-39.5,2.1667364158564133e-07,0.00011962164896095473,True
-39.5,2.532050984040335e-07,0.00012027224836441697,True
-39.5,2.958958061931839e-07,0.00012075120025811792,True
-39.5,3.4578422265023266e-07,0.00012110329044157098,True
-39.5,4.040838907860794e-07,0.00012136185150990464,True
-39.5,4.722129585362281e-07,0.00012155158311677461,True
-39.5,5.518286754162768e-07,0.000121690729415036,True
-39.5,6.448677053582382e-07,0.00012179273486712106,True
-39.5,7.535932363433208e-07,0.00012186749008469278,True
-39.5,8.806500327798515e-07,0.00012192226217799806,True
-39.5,1.0291287697834797e-06,0.00012196238577555363,True
-39.5,1.2026412143004133e-06,0.00012199177429184083,True
-39.5,1.4054080818654717e-06,0.00012201329714045528,True
-39.5,1.6423617061234313e-06,0.00012202905747682458,True
-39.5,1.919266018564754e-06,0.00012204059639397968,True
-39.5,2.242856757000253e-06,0.00012204904288903862,True
-39.5,2.6210053133663435e-06,0.00012205522390651424,True
-39.5,3.062910206482632e-06,0.00012205974504930772,True
