temperature,water,outlet,case_hash,feasibility,stop_reason,success_time,last_valid_time,th_startup,startup_result,shutdown_status,E_aux_total_J,charge_C_cm2,wall_s,nfev,mass_residual,energy_residual,exception,V_min,ice_max,delta_T_max,candidate_id,numerically_accepted,config_requested,code_hash
-20,W0,closed,88d7d2bf8b42e1aa,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423828929299742,9.564028499997221,2370,1.2408904152553807e-14,1.0080054085363489e-15,,0.5687394189383578,0.032773573517608026,0.0,water_route_860785d798ec1885b13b,True,88d7d2bf8b42e1aa,904567fd11d251fb
-25,W0,closed,d1be80d32a7f9729,infeasible,oxygen,,35.38009497321334,0.0,oxygen,oxygen,0.0,6.228174406339574,8.212924600054976,2047,7.997312038418995e-14,4.4507885869564525e-16,,0.37134887485045276,0.09752739982588336,0.0,water_route_84bf7ce4de4452fa143a,True,d1be80d32a7f9729,904567fd11d251fb
-10,W0,closed,62ecc553ba012b0f,infeasible,charge,,99.99999999999991,0.0,charge,charge,0.0,20.0,3.2802292000269517,679,1.6518283586409102e-14,6.368613543695116e-16,,0.6090087457563609,2.035182942851458e-18,5.17343125391767,water_route_b5085c3a7fb6f561fe61,True,62ecc553ba012b0f,904567fd11d251fb
-30,W0,closed,35d0e8e5a68d9b59,infeasible,voltage,,47.646920523517416,,voltage,voltage,5955.865065439677,5.675572588436434,2.2059822999872267,432,2.1366253986933574e-14,4.2457423624634106e-16,,0.2999999990000003,1.065060092756085e-18,38.50214651289997,water_route_161a5d695ebcc5b6f509,True,35d0e8e5a68d9b59,904567fd11d251fb
-20,W1,closed,87fec27d3deb223f,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423840777357047,10.011774799961131,2366,2.6468160131707475e-14,6.797435369260225e-16,,0.5691637452416106,0.0037575246470084264,0.0,water_route_fb5ef35a0c2aef1b8d4d,True,87fec27d3deb223f,904567fd11d251fb
-25,W1,closed,db4a552633031285,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602289342910342,9.406553900043946,2161,1.9632454761845476e-12,4.743554863700466e-16,,0.5354496713670281,0.010071942508726436,0.0,water_route_fd77bb148b98edcb18c4,True,db4a552633031285,904567fd11d251fb
-10,W1,closed,d06ae7258234cd10,infeasible,charge,,99.99999999999991,0.0,charge,charge,0.0,20.0,3.921225300000515,679,1.6518283586409102e-14,6.368613543695116e-16,,0.6090087457563609,2.035182942851458e-18,5.17343125391767,water_route_c0dd5df117465253ab07,True,d06ae7258234cd10,904567fd11d251fb
-30,W1,closed,7b7c4610110e1086,infeasible,voltage,,47.646920523517416,,voltage,voltage,5955.865065439677,5.675572588436434,2.764074200007599,432,2.1366253986933574e-14,4.2457423624634106e-16,,0.2999999990000003,1.065060092756085e-18,38.50214651289997,water_route_aa8935400986b43b2120,True,7b7c4610110e1086,904567fd11d251fb
-20,W1,drain,4219e144a91afb09,unresolved,horizon,,36.6,0.0,horizon,unresolved,0.0,6.423840777357047,10.55193610000424,2366,2.6468160131707475e-14,6.797435369260225e-16,,0.5691637452416106,0.0037575246470084264,0.0,water_route_a2a00f280ca5fb3cbb0e,True,4219e144a91afb09,904567fd11d251fb
-25,W1,drain,b7025717a929ad54,unresolved,horizon,,36.5999999999999,0.0,horizon,unresolved,0.0,6.602289342910342,9.98915019998094,2161,1.9632454761845476e-12,4.743554863700466e-16,,0.5354496713670281,0.010071942508726436,0.0,water_route_79d0e32ebbb41cc3d2d7,True,b7025717a929ad54,904567fd11d251fb
-10,W1,drain,0c2101a53d7bcb34,infeasible,charge,,99.99999999999991,0.0,charge,charge,0.0,20.0,4.653482399997301,679,1.6518283586409102e-14,6.368613543695116e-16,,0.6090087457563609,2.035182942851458e-18,5.17343125391767,water_route_9ad7f09678dda7495451,True,0c2101a53d7bcb34,904567fd11d251fb
-30,W1,drain,08d0f9fac85e5b18,infeasible,voltage,,47.646920523517416,,voltage,voltage,5955.865065439677,5.675572588436434,3.509771999961231,432,2.1366253986933574e-14,4.2457423624634106e-16,,0.2999999990000003,1.065060092756085e-18,38.50214651289997,water_route_829189eb017bcbd43ee0,True,08d0f9fac85e5b18,904567fd11d251fb
